SPEAKER_06 | 0:0:33.224 --> 0:0:37.38 |  Дякую.
SPEAKER_08 | 0:54:54.352 --> 0:55:5.590 |  Велика країна, на сході, наш сусід. Ну, карта перед тобою, ну?
SPEAKER_07 | 0:55:5.843 --> 0:55:6.282 |  Дякую.
SPEAKER_08 | 0:55:6.400 --> 0:55:29.266 |  Спокійно, будь ласка. Щур, столиця великої країни, що знаходиться на сході. У нас з цією країною була ще спільна держава. Триста років, до речі, у нас з цією країною була спільна держава. Ну що, ніяк не згадаєш? Да на язике крутиться. У футбол! В кого ми виграли минулого тижня?
SPEAKER_06 | 0:55:29.637 --> 0:55:30.363 |  Аааа...
SPEAKER_08 | 0:55:30.295 --> 0:55:41.939 |  — Бе! — Москва? Москва, сідай, горе моє, п'ять! Так заспокоїлись, відкрили підручники на сторінці 36-ій і розгорнули зошити.
SPEAKER_22 | 0:55:40.741 --> 0:55:41.635 |  Розгорнули зошити.
SPEAKER_08 | 0:55:43.53 --> 0:55:46.360 |  І хвилиночку сидимо тихенько. Хвилиночку. Тридцять шох, паспорінка.
SPEAKER_06 | 0:55:47.153 --> 0:55:47.963 |  Дякую.
SPEAKER_08 | 0:55:58.207 --> 0:56:9.985 |  Тихо, тихо, кому я сказала, тихо і... Добрий день. Добрий день. Тихенько, з'їдемо.
SPEAKER_32 | 0:56:12.263 --> 0:56:22.372 |  Нам треба допомогти правоохоронним органам, так що я попрошу вас поводитися спокійно. Тихо, тихо. А її що, ізнасилували?
SPEAKER_05 | 0:56:20.802 --> 0:56:21.443 |  Дякую за перегляд!
SPEAKER_32 | 0:56:24.329 --> 0:56:26.928 |  Вийди із класу. А речі можна? Ні.
SPEAKER_06 | 0:56:26.506 --> 0:56:26.810 |  Ні.
SPEAKER_32 | 0:56:30.320 --> 0:56:51.380 |  Вибачте, будь ласка. Що ж це таке робиться? Остепенко, стій!
SPEAKER_05 | 0:56:56.881 --> 0:56:57.573 |  О!
SPEAKER_27 | 0:57:3.614 --> 0:57:18.59 |  О, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о, о,
SPEAKER_21 | 0:57:20.472 --> 0:57:24.151 |  Па, ну не треба було так надриватись. Ну все є.
SPEAKER_27 | 0:57:25.568 --> 0:57:29.618 |  Ну, знаю, що у вас є. Знаю, які вам елементи платить цей, знаю.
SPEAKER_21 | 0:57:30.530 --> 0:57:30.952 |  Ха.
SPEAKER_27 | 0:57:31.542 --> 0:57:32.740 |  Ну, що я не прав?
SPEAKER_21 | 0:57:33.280 --> 0:57:36.267 |  Па, ну не треба зараз.
SPEAKER_27 | 0:57:38.107 --> 0:57:45.76 |  А це сахар. П'ять кілограмів. Тільки не треба говорити, що у вас є. Є, я не спорю. Є. Є, але в п'ять разів дорожче.
SPEAKER_11 | 0:57:47.607 --> 0:57:48.282 |  Чотири.
SPEAKER_27 | 0:57:50.138 --> 0:57:50.543 |  Дякую.
SPEAKER_11 | 0:57:50.847 --> 0:57:51.117 |  О!
SPEAKER_27 | 0:57:52.771 --> 0:58:25.458 |  А це, Оленька, не для тебе. Це для мами і дідуся. Просто купуєш бутилку звичайної водки, туди рябини, смородини, оріхових перемичок, відстоялося, процедував, допомагає при желудку і взагалі краса. Ну що, Оля, радий, що дідусь приїхав?
SPEAKER_19 | 0:58:26.65 --> 0:58:26.555 |  Рада.
SPEAKER_27 | 0:58:27.770 --> 0:58:30.82 |  І я, так де я уленька спадку, то?
SPEAKER_21 | 0:58:35.330 --> 0:58:39.565 |  Оль, дідусь поки що поспить на місці Мехася. Покажи йому.
SPEAKER_18 | 0:58:50.770 --> 0:58:51.952 |  А що ти махаєшся по фону?
SPEAKER_07 | 0:59:10.835 --> 0:59:11.628 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_27 | 0:59:17.939 --> 0:59:19.812 |  А це Михайло нарисував.
SPEAKER_19 | 0:59:22.985 --> 0:59:23.272 |  Так.
SPEAKER_27 | 0:59:29.650 --> 0:59:39.995 |  Ходиш ж де-то, мразь такий, своїми руками задушив би, своїми руками.
SPEAKER_18 | 0:59:42.172 --> 0:59:43.235 |  Я знаю, хто це.
SPEAKER_27 | 0:59:48.905 --> 0:59:55.857 |  Оля, цим пусть міліція розміститься, а ти мала і що, мала.
SPEAKER_23 | 0:59:57.680 --> 1:0:1.122 |  Папа! Воню! Сліза!
SPEAKER_07 | 1:0:4.548 --> 1:0:4.818 |  Так.
SPEAKER_27 | 1:0:6.877 --> 1:0:17.69 |  Гадав, про южчина вашого пишуть, як він з ЦРУ співпрацював, про НАТО. Папа, я ж так розумію.
SPEAKER_21 | 1:0:15.753 --> 1:0:23.9 |  Пап, я ж тебе просила по телефону, просила тебе. Ти обіцяв мені. Було таке?
SPEAKER_19 | 1:0:28.190 --> 1:0:30.333 |  Дідусь, а ти надовго до нас приїхав?
SPEAKER_27 | 1:0:36.340 --> 1:0:37.994 |  Наскільки потрібно, тільки приїхав.
SPEAKER_19 | 1:0:42.297 --> 1:0:43.293 |  Що тобі потрібно?
SPEAKER_27 | 1:0:47.107 --> 1:0:47.798 |  Люда.
SPEAKER_21 | 1:0:49.418 --> 1:1:12.132 |  Олю, ти давай швидше їж, тому що тепер тобі треба буде виходити раніше. Дідусь у нас вже немолодий, ходить повільно, так що давай. Зрозуміла мене? Давай, їж. Оль, ти знов не доїла.
SPEAKER_19 | 1:1:12.773 --> 1:1:15.153 |  Ти ж сама казала, збиратися треба швидко.
SPEAKER_20 | 1:1:19.118 --> 1:1:22.612 |  І отак весь час, просто весь час, жах якийсь.
SPEAKER_27 | 1:1:22.966 --> 1:1:24.198 |  Так ось, питання чого?
SPEAKER_20 | 1:1:24.738 --> 1:1:26.240 |  Та йдіть ви всі знаєте куди.
SPEAKER_34 | 1:1:52.345 --> 1:2:28.154 |  Мам! Мама! Мам! Мам! Мам! Мам! Мам! Мам! Мама! Мам!
SPEAKER_06 | 1:4:9.640 --> 1:4:9.978 |  Дякую!
SPEAKER_16 | 1:4:11.58 --> 1:4:27.207 |  Дарі, успокойся, мой хороший. Спокойно, мой хороший, спокойно. Спокойно, мой маленький, спокойно. Успокойся, успокойся. Тихо, тихо, тихо, тихо.
SPEAKER_06 | 1:4:29.182 --> 1:4:31.392 |  Ух! Ух! Ух!
SPEAKER_16 | 1:4:33.12 --> 1:4:33.704 |  Пішли зі мною.
SPEAKER_07 | 1:4:42.260 --> 1:4:44.993 |  Три години в ефірі.
SPEAKER_30 | 1:4:45.196 --> 1:4:51.35 |  Агентство, нам треба закінчити. Давайте, агентство Ріановості.
SPEAKER_12 | 1:4:56.587 --> 1:5:6.205 |  Оля! Телефон! Оля, телефон! Оля, телефон!
SPEAKER_13 | 1:5:6.695 --> 1:5:7.538 |  Я чую.
SPEAKER_18 | 1:5:30.67 --> 1:5:30.590 |  Субтитрувальниця Оля Шор
SPEAKER_27 | 1:5:30.792 --> 1:5:31.163 |  Мене?
SPEAKER_18 | 1:5:33.53 --> 1:5:34.471 |  Злічі, злічі.
SPEAKER_27 | 1:5:40.141 --> 1:6:28.319 |  Добрий день, я дідусь, я не знаю, то дочка, я думаю, повинна вирішувати. Чого ти стоїш? Іди займайся. Так, звісно, ми зацікавлені. Але, розумієте, у нас і так проблем пів року, можна якось без нашого учасниця, з Олею проблеми, в школі у неї проблеми, дівчинка нервничає, ні, ми не відмовимося, ні, ви неправильно зрозуміли.
SPEAKER_02 | 1:6:26.783 --> 1:6:27.70 |  Дякую за перегляд!
SPEAKER_27 | 1:6:28.454 --> 1:6:37.448 |  Я сам готовий на що завгодно, тільки я просто не хочу без дитини, без матері.
SPEAKER_21 | 1:6:56.602 --> 1:6:57.74 |  Дякую!
SPEAKER_18 | 1:7:45.134 --> 1:7:46.163 |  Хочеться, не беремо на чергу.
SPEAKER_17 | 1:7:57.520 --> 1:7:58.432 |  Не знаю.
SPEAKER_18 | 1:8:5.485 --> 1:8:14.682 |  Добре. Починаємо. Сьогодні четвер чи п'ятниця? Четвер. Хоча ні, п'ятниця.
SPEAKER_17 | 1:8:15.661 --> 1:8:16.387 |  П'ятниця.
SPEAKER_18 | 1:8:20.875 --> 1:10:36.533 |  Оля, ти пам'ятаєш той час, коли народився твій братик? Так. Що ти пам'ятаєш? Ми жили з татом. Хотіла провідувати маму. Суперечалася, як називало Мехасі. Було весело. Як ти хотіла, аби назвали братик? Гарі. Я тоді надивилась Ігоря Поттера. А назвала Мехаса? А потім, коли мама з братиком повернулися додому, що було? Все стало, як і було. Тільки тепер з Мехасом. Братик тобі не заважав? Трішки. Він дуже сильно татові заважав. Він був змушений їх припинити працювати вдома. Ти доглядала братик? Так. Тобі подобалось? Ні. Чому? Я не знала, що знову роботи, коли він плакав. Як часто тобі доводилося доглядати братику? Кожного дня. А як це було довго? Ну, доки Михайло не пішов до Ясо. А тато почав вдома працювати, коли Михайло пішов до Ясо? Ні. Батьки розлучились вже тоді? Ні, але вже почали. Ти щось робила, аби батьки не розлучалися? Так. Що з вами? Розмовляла з татом, з мамою. І що? Мама не хотіла нічого чути. Саме мама не хотіла. Тоді я думала, що так. А зараз? А зараз думаю, що і тато винен.
SPEAKER_19 | 1:10:38.845 --> 1:10:40.651 |  Але мама тоді могла все зупинити.
SPEAKER_18 | 1:10:43.182 --> 1:13:25.570 |  Ти впевнена? Ні. Може, ти думала, що через братика батьки хотіли розлучитися? Ні, навпаки. Вони любили його більше, ніж мене. Правда? Я ж не дурна, я все бачу. Ти заздрила тоді братику? Ні. Він хлопчик, йому три роки. Ну, як я могла йому зазвичай? Добре. Чи ревнувала ти батьків до братика? Так. З часом це змінилося? Змінилося. Як саме? Я почала ревнувати значно менше. Останній рік тобі часто доводилося возитися з братиком? Майра кожного дня. Тобі це подобалося? Ні. Що ти відчула, коли зрозуміла, що твій братик зник? Я мала злу, ти не з'їхала. А чому ти одразу не сказала, що бачила незнайомого чоловіка поруч з твоїм братом? Я сподівалась, що це не так. Що не так? Я сподівалася, що Мехай просто втік і десь загубився. Я навіть подумати не могла, що з ним щось таке станеться. Добре. Костянтину Петровичу, чи не могли б ви нас залишити на кілька хвилин? Те, про що я зараз запитаю, залишиться тільки між нами. Ні батьки, ні міліція, ні хто інший про твої відповіді не дізнається. Зрозуміло? Так. Чи вживала ти коли-небудь наркотичні речовини? Ні. Чи застосовували до тебе фізичне насильство батьки чи найближчі родичі? Ні. Чи ставала ти об'єктом сексуального домагання з боку батьків чи найближчих родичів? Ні. Ну, все-все. Пішли. А посадять цього підозрюваного? Сонечко, я даю лише експертну оцінку твоєї психологічної стани. За твоїми свідченнями, він буде отриманий до звона обшуку.
SPEAKER_21 | 1:13:25.773 --> 1:13:32.50 |  Про решту, я так розумію, можна не відповісти. Тобто, ваш старий...
SPEAKER_23 | 1:14:5.632 --> 1:14:13.867 |  Настя, Настя, Настя, Настя!
SPEAKER_06 | 1:14:20.93 --> 1:14:22.118 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 1:15:3.597 --> 1:15:7.512 |  Що тюрма? Тюрма не факт, якщо людина сильна, то може тільки характер закалити.
SPEAKER_14 | 1:15:8.153 --> 1:15:11.748 |  Глупості. Після тюрми тебе на хорошу роботу ніхто не візьме.
SPEAKER_11 | 1:15:13.452 --> 1:15:19.426 |  Хочеш сказати, що мало людей, які сиділи і при цьому багато чого добилися? Або що?
SPEAKER_14 | 1:15:20.320 --> 1:15:21.923 |  Ну, наприклад, хто?
SPEAKER_11 | 1:15:22.261 --> 1:15:23.493 |  Наприклад, Сталін.
SPEAKER_14 | 1:15:24.809 --> 1:15:26.783 |  Я думала, ти Стефані Майор називеш.
SPEAKER_11 | 1:15:27.87 --> 1:15:27.745 |  А хто це?
SPEAKER_14 | 1:15:28.285 --> 1:15:29.585 |  Ну, афтерсунерок.
SPEAKER_11 | 1:15:30.344 --> 1:15:32.572 |  Ааа, а його що, різніше посадити?
SPEAKER_14 | 1:15:32.757 --> 1:15:34.867 |  Не знаю, можливо і є.
SPEAKER_11 | 1:15:35.440 --> 1:15:36.942 |  Ну так от і не спорти, пане.
SPEAKER_14 | 1:15:37.617 --> 1:15:38.326 |  Це тут?
SPEAKER_11 | 1:15:38.950 --> 1:15:40.267 |  Так. А що, страшно?
SPEAKER_14 | 1:15:40.587 --> 1:15:42.916 |  Ну, тримай її!
SPEAKER_05 | 1:15:46.190 --> 1:15:48.367 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_06 | 1:15:48.367 --> 1:15:48.670 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 1:15:48.670 --> 1:15:49.244 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_06 | 1:15:51.978 --> 1:15:52.653 |  Дів'ять!
SPEAKER_28 | 1:15:52.653 --> 1:15:54.20 |  Заносі, бов'ю!
SPEAKER_05 | 1:15:56.365 --> 1:16:3.453 |  Відпустіть!
SPEAKER_21 | 1:16:5.225 --> 1:16:7.452 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_05 | 1:16:7.452 --> 1:16:9.393 |  Я це мало б бачила.
SPEAKER_11 | 1:16:11.300 --> 1:16:25.120 |  Я більше не буду, будь ласка. Не стільки, що я не вірю. Я більше, я більше не вірю. Молись, коза, твого часу не стало. Ти розумієш, що ти натворила? Розумієш чи ні? Ти своїм ртом поганим молоду судьбу чуть не покалечив. Розумієш?
SPEAKER_18 | 1:16:25.745 --> 1:16:28.478 |  Будь ласка, відпустіть, я більше не можу.
SPEAKER_11 | 1:16:30.132 --> 1:16:32.714 |  І що нам з тобою зробити, відписати чи на кого посадити?
SPEAKER_05 | 1:16:33.1 --> 1:16:33.524 |  Підпишись.
SPEAKER_11 | 1:16:35.684 --> 1:16:48.627 |  Ну, відпустимо я тебе. Що я своїм корішам скажу? Як я їм в очі дивитимуся, де моє уваження буде? Говори, сука, говори, розумієш? Будь ласка. Ну, відпустимо я тебе.
SPEAKER_06 | 1:16:49.640 --> 1:16:52.424 |  Прошу. Прошу.
SPEAKER_11 | 1:16:55.597 --> 1:17:14.92 |  Оль, може, вибачимо мову? Оль, може, все-таки вибачимо мову? Оль, може, все-таки відпустимо, або як?
SPEAKER_19 | 1:17:19.53 --> 1:17:20.217 |  Рукопідійми!
SPEAKER_11 | 1:17:20.268 --> 1:17:24.790 |  Оль, ти що робиш?
SPEAKER_19 | 1:17:24.925 --> 1:17:26.562 |  Зв'язати її хочу.
SPEAKER_11 | 1:17:26.849 --> 1:17:33.59 |  Ой-ой-ой, ми ж не так договарювались.
SPEAKER_19 | 1:17:34.409 --> 1:17:36.12 |  Ми візьмемо її у заручниці.
SPEAKER_11 | 1:17:37.25 --> 1:17:40.754 |  Ми домовлялися, щоб просто її налікати, щоб вона знала, як стучати. Оль, ну ти чого?
SPEAKER_19 | 1:17:41.176 --> 1:17:44.737 |  Я відпочую її тільки тоді, коли цей виродок розкаже, що він зробив з Мехасом.
SPEAKER_11 | 1:17:44.838 --> 1:17:46.188 |  Ну, розумієш, за це сісти можна.
SPEAKER_19 | 1:17:47.352 --> 1:17:47.723 |  Ні.
SPEAKER_11 | 1:17:48.753 --> 1:17:51.149 |  Оль, ну перестань, давай не будемо страдати цією фігнею, ну серйозно.
SPEAKER_18 | 1:17:51.925 --> 1:17:52.988 |  Якщо сиш, то йди.
SPEAKER_11 | 1:17:57.241 --> 1:17:58.0 |  Більна.
SPEAKER_03 | 1:18:3.265 --> 1:18:3.772 |  Дур!
SPEAKER_32 | 1:18:27.920 --> 1:18:29.573 |  Хто тобі дозволив випускати руки?
SPEAKER_13 | 1:18:39.125 --> 1:18:53.468 |  Ольга, чула ти граєш? А на якому музичному інструменті ти граєш? Скажи, будь ласка, на якому музичному інструменті ти граєш? Скажи, будь ласка, на якому музичному інструменті?
SPEAKER_18 | 1:18:55.561 --> 1:18:56.371 |  Наскрипсі.
SPEAKER_13 | 1:18:57.164 --> 1:19:31.707 |  Правда? Я також граю на скрипці. Тобі не здається, що це чудовий збіг обставин? Правда, це чудовий збіг обставин? Правда, Оль? Ми можемо грати вдвох, Оль. Це чудовий збіг обставин. Оль. А що тобі більше за все подобається грати? Скажи, будь ласка, що тобі більш завжди? Подобайся грати.
SPEAKER_18 | 1:19:35.200 --> 1:19:38.542 |  Я збрехала, я граю на флейті.
SPEAKER_13 | 1:19:40.178 --> 1:19:54.978 |  Це ще краще. Ти можеш грати на флеті, а я на скрипці. Ми можемо грати у двох. Оль, ми можемо грати у двох. Оль. Оля.
SPEAKER_09 | 1:19:59.703 --> 1:20:30.44 |  Оль! Оля! Оля! Допоможіть! Люди! ДОБУДІТЬ!
SPEAKER_19 | 1:20:43.409 --> 1:20:45.417 |  Стійте, будь ласка, зупиніться.
SPEAKER_04 | 1:21:17.817 --> 1:21:18.425 |  Слушаю.
SPEAKER_18 | 1:21:19.943 --> 1:21:21.783 |  Покличте, будь ласка, вашого чоловіка.
SPEAKER_04 | 1:21:21.901 --> 1:21:22.340 |  Хто це?
SPEAKER_18 | 1:21:26.457 --> 1:21:28.94 |  Викличте, будь ласка, вашого чоловіка.
SPEAKER_04 | 1:21:28.364 --> 1:21:29.5 |  Хто це?
SPEAKER_18 | 1:21:31.368 --> 1:21:34.878 |  Це стосується вашої дочки. Покличте, будь ласка, вашого чоловіка.
SPEAKER_04 | 1:21:34.996 --> 1:21:36.110 |  При чому тут Маріна?
SPEAKER_18 | 1:21:38.489 --> 1:21:42.421 |  Якщо ви не покличете вашого чоловіка, то, можливо, ви більше не побачите її.
SPEAKER_04 | 1:21:42.472 --> 1:21:45.20 |  Хто за бред? Хто ви? Що вам потрібно?
SPEAKER_18 | 1:21:45.172 --> 1:21:46.589 |  Покличте вашого чоловіка.
SPEAKER_04 | 1:21:46.589 --> 1:21:47.872 |  Його зараз немає.
SPEAKER_18 | 1:21:48.462 --> 1:21:48.968 |  Вибираєш...
SPEAKER_19 | 1:21:48.968 --> 1:21:50.234 |  Я бачила його машину.
SPEAKER_04 | 1:21:49.981 --> 1:21:52.310 |  Він увідряджені! Ви брешете!
SPEAKER_19 | 1:21:51.449 --> 1:21:53.2 |  Ви брешете. Де він?
SPEAKER_04 | 1:21:54.892 --> 1:21:59.566 |  Його забрали до міліції. Це правда, я не брошую.
SPEAKER_19 | 1:22:0.427 --> 1:22:0.916 |  Коли?
SPEAKER_04 | 1:22:2.958 --> 1:22:3.515 |  Вчора.
SPEAKER_19 | 1:22:5.573 --> 1:22:6.805 |  Передавайте йому вітання.
SPEAKER_25 | 1:22:25.621 --> 1:22:26.566 |  Дітей любить.
SPEAKER_02 | 1:22:28.912 --> 1:22:29.283 |  Люблю.
SPEAKER_10 | 1:22:40.336 --> 1:22:50.495 |  Ммм, це щось є, рішительно щось є. Знаєте, Кавказ, це 90-ті роки.
SPEAKER_17 | 1:22:52.64 --> 1:22:52.351 |  Ой!
SPEAKER_10 | 1:22:53.161 --> 1:24:30.57 |  Бізнес веселий, ну, не касаємо нас, варіант. Немає уваження, звісно, до різносердцівського кавказу. Любов до дітей, чебуреки. Чебуреки, чебуреки. Так і води, крім мінералів, сладкі водологіци. А тут щось є. Не є, є, а що там є заворожуюче. Діти готові змінювати любов батьківську На п'ять хвилин, до наступного матеріалу, а ви відкройте дитячий сад, відкройте і заведіть. Радості просто велика криста, краще будь-якого лекарства. Сміхи, іскрі очі, а тут тридцять чотири, інше потім. Правда, відкройте дитячий сад, дорогий-дорогий-дорогий Іван Давидович. У нас з вами п'ять не клеїться нічого. На вас розробка нова, а вже не економічна. Діти, похищення несовершеннолетніх. Молодий студент, реально ретіли до роботи, підняв статистику за останні 8 років.
SPEAKER_06 | 1:24:32.15 --> 1:24:32.285 |  Хм?
SPEAKER_10 | 1:24:35.305 --> 1:25:8.397 |  Виявилося, що в більшості випадків на пропавших дітях було щось зелене з одягами. Вони сподівалися, що це справа рук одного і того ж людини, у якого зелений світ, при певних обставинах, діє як розбудовник, роздражник, якийсь стимулятор. І на малюшах, ось за яким у вас відео, теж була зелена кофта.
SPEAKER_17 | 1:25:8.701 --> 1:25:19.484 |  Бред! Хуй. Діло навіть білими нитками не шито. Це просто тупе вимагання. Скільки вони хочуть? Скільки?
SPEAKER_10 | 1:25:21.222 --> 1:25:38.30 |  Скільки вони хочуть. Дітей, значить, любите? Це не від мене. Це ви в компетенції. Усього доброго.
SPEAKER_17 | 1:25:42.434 --> 1:26:25.94 |  Дякую за роботу, але мене на голий понт не візьмеш. Алло, привіт. Буду пізно після 12. Робота така. Зараз їду на комітет. Слухай, а Маріна вдома? Дай їй трубочку. Алло, привіт, Марішко. Слухай, я один питання вирішую, земельний, по школі 130. Це не та школа, в якій ту хуліганку знайшли, яка тебе збила? Ні. А, 105? Так, 105, так? За сільпо одразу. А, знаю.
SPEAKER_29 | 1:27:9.323 --> 1:27:15.61 |  Відвіді нас від оскарження. Друга вона з'їжджається. Ми тобі сіли, волі і славу. Дякую.
SPEAKER_17 | 1:27:34.231 --> 1:27:37.471 |  Садіться, підвезу. Садіться, не боїтесь.
SPEAKER_16 | 1:27:51.865 --> 1:27:58.632 |  Послухайте, Оля, я дуже жалею про те горе, яке сталося з вашою сім'єю.
SPEAKER_17 | 1:28:1.518 --> 1:28:26.965 |  Я розумію ваші відчуття, і я не тримаю зла за те, що ви вбили мою дочі. Але розумію, Оля, я не маю ні малішого відносини до пропади вашого брата. Я звичайний людина, у мене куча недостатків, але я не злочинець. Розумієте, Оля, у мене жінка і дочь, я їх люблю, мені ніхто не потрібен більше. Оль, послухайте, подивіться на мене.
SPEAKER_16 | 1:28:26.965 --> 1:28:33.715 |  Ви можете сломать судьбу именно себе. Понимаете, Оля? Слышите меня, Оля? Я не Оля.
SPEAKER_12 | 1:28:36.972 --> 1:28:37.478 |  Ні одна.
SPEAKER_19 | 1:28:37.478 --> 1:28:38.2 |  Ні.
SPEAKER_18 | 1:28:56.581 --> 1:29:21.910 |  Я в цій країні свого будущого не бачу. Майбутнього. Яка різниця? Не бачу і все. Курсове вглублене изучення англійського, потім поступати кудись за кордон. Мама тітка в одного депутата працює. Ти уявляєш, своєму племіннику грант видав. Там той грант не так важко поочити. Але треба знати де і як. І мову треба знати. А тут, серед дітей жлобів, я свого будущого не бачу.
SPEAKER_11 | 1:29:24.880 --> 1:29:26.618 |  Дитя, стій, мені з тобою поговорити потрібно.
SPEAKER_19 | 1:29:26.618 --> 1:29:27.445 |  Я на мою часу.
SPEAKER_11 | 1:29:27.445 --> 1:29:28.863 |  Це не займе у тебе багато часу.
SPEAKER_19 | 1:29:29.926 --> 1:29:31.580 |  Ну, що то хотів би не сказати.
SPEAKER_11 | 1:29:31.580 --> 1:29:32.980 |  Не, ну не тут же розмовляти.
SPEAKER_19 | 1:29:33.82 --> 1:29:33.942 |  Мені тут добре.
SPEAKER_11 | 1:29:34.145 --> 1:29:34.972 |  Ви пішли за гаражі?
SPEAKER_30 | 1:29:34.972 --> 1:29:35.630 |  Там поговоримо.
SPEAKER_19 | 1:29:36.507 --> 1:29:37.672 |  Або тут, або я пішла.
SPEAKER_30 | 1:29:37.587 --> 1:29:39.730 |  Подруга, а тобі не здається, що ти заганяєшся?
SPEAKER_19 | 1:29:40.34 --> 1:29:40.642 |  Я пішла.
SPEAKER_35 | 1:29:45.586 --> 1:29:47.105 |  Пішли, поговоримо.
SPEAKER_19 | 1:29:46.143 --> 1:29:46.750 |  Пошли, пошли.
SPEAKER_35 | 1:29:47.678 --> 1:29:54.732 |  Ти відпусти, не тримайте її, відпустіть її, будь ласка. Валі відсюди, убога, ти зараз рожу порву, пішла.
SPEAKER_36 | 1:29:49.130 --> 1:29:49.433 |  Дякую!
SPEAKER_06 | 1:29:59.609 --> 1:30:2.275 |  Булігани! Пишу командування!
SPEAKER_30 | 1:30:2.562 --> 1:30:6.899 |  Вона у нашого кінка велосипед украла, ми її в міліцію ведемо.
SPEAKER_36 | 1:30:9.565 --> 1:30:19.235 |  Впустіть її, не трогайте! Будь ласка, не трогайте її, впустіть! Будь ласка, не трогайте її! Впустіть її!
SPEAKER_30 | 1:30:19.235 --> 1:30:22.323 |  Ти що, дурна за нею поставлятися? Валі, тебе ніхто не осудить.
SPEAKER_06 | 1:30:33.190 --> 1:30:43.619 |  Дякую за перегляд!
SPEAKER_05 | 1:30:39.535 --> 1:30:40.58 |  Дякую!
SPEAKER_30 | 1:30:40.58 --> 1:30:41.813 |  Дякую за перегляд!
SPEAKER_06 | 1:30:44.24 --> 1:30:46.370 |  Ну, давай!
SPEAKER_30 | 1:30:45.323 --> 1:30:57.963 |  Давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-давай-д
