SPEAKER_20 | 0:0:36.363 --> 0:0:38.658 |  Незаборонені речі, наркотики.
SPEAKER_14 | 0:38:19.98 --> 0:38:24.498 |  Ну, ти добрий. Я якраз на мотоблок стану. Ще й вистачить.
SPEAKER_09 | 0:38:27.130 --> 0:38:32.581 |  Який мотоблок, Дмитре, наш? Треба насос в колодязь ставити, внітази купити.
SPEAKER_14 | 0:38:33.543 --> 0:38:38.656 |  А от облок до всієї господарки, і в город, і щось привезти.
SPEAKER_09 | 0:38:40.630 --> 0:38:46.469 |  Не будь дитиною. Видів того Юрка, той мотоблок, то й тобі захотілося іграшку.
SPEAKER_14 | 0:38:46.469 --> 0:38:53.152 |  Ну, то правда. А я вже не газдер, бо ти гроші привезли.
SPEAKER_25 | 0:38:54.333 --> 0:38:54.738 |  Дякую.
SPEAKER_14 | 0:38:55.143 --> 0:39:6.247 |  Нічого. Тобі ж цього з твоєї талі видніше, як мені будувати, як мозолі заробляти.
SPEAKER_09 | 0:39:10.94 --> 0:39:22.210 |  Я хотіла, аби було ліпше. Те, що ти будуєш, то добре. Але треба й вигоди знати. Нітази, душ.
SPEAKER_14 | 0:39:22.767 --> 0:39:30.7 |  Слухай, що ти від мене хочеш? Я, воно, все життя на двір ходив. Це тепер мода взяла, в хаті срати.
SPEAKER_09 | 0:39:33.230 --> 0:39:41.515 |  Не грай бар'яти. Ти сам розумієш, що дурниці не робив. Та хоч не свирися. Слухай, що тобі кажуть.
SPEAKER_14 | 0:39:41.752 --> 0:39:53.918 |  Грамотно стало. Митре робите, Митре роби се. Митре не так себе жилить, а.
SPEAKER_04 | 0:40:39.447 --> 0:41:31.743 |  Ось так, а потім додай сюди. Я стаю дуже мріявою, коли дитина не приймає. І я не бачу. Мама не надає так доволі. Звичайно, сьогодні він прийде, дивіться. Дивіться. Чудово. Це Софія?
SPEAKER_17 | 0:41:32.435 --> 0:41:34.882 |  Не прийде. Треба наступного разу.
SPEAKER_04 | 0:41:35.185 --> 0:41:35.692 |  Наколи?
SPEAKER_17 | 0:41:35.692 --> 0:41:36.12 |  Так, так, так.
SPEAKER_04 | 0:41:38.223 --> 0:41:39.944 |  Се препіо но стречо ді падре, е?
SPEAKER_17 | 0:41:40.315 --> 0:41:41.311 |  Мамо, не починай.
SPEAKER_04 | 0:41:40.501 --> 0:41:40.754 |  Дякую.
SPEAKER_17 | 0:41:41.716 --> 0:41:47.386 |  Нічого з цим не відбувається. Він був довгий, я б повинен повернути його додому. А потім він маленький, робить капричі, коли втрачає.
SPEAKER_04 | 0:41:47.538 --> 0:41:47.909 |  Дякую.
SPEAKER_17 | 0:41:47.909 --> 0:41:51.217 |  Найкраще так. Ми вирішили разом.
SPEAKER_04 | 0:41:51.959 --> 0:41:54.524 |  Ма кіно вує раконтаре, е, ма-ма-ма.
SPEAKER_17 | 0:42:1.358 --> 0:43:6.766 |  Залишимося на табор. Так? Ти також? Звичайно. Так, так, вийди, вийди. Вітаю, любі. Так, батько прийде швидко. Так, так, швидко, швидко. Не тримайся. Слухай, Софія. Любі. Любі. Слухай, батько. Хочеш розмовляти з батьком? Так, так, я тебе розповідаю. Чао, чао, чао, море, чао, чао.
SPEAKER_04 | 0:43:9.517 --> 0:43:40.550 |  Доброго дня! Доброго дня, мій дорогий. Добрий день. Як ти? Доброго дня. Ви вже поїхали? Я зробила тобі торт, який тобі дуже подобається. Це такий гарний подарунок. Так. Мені дуже не вистачає. Хто? Так, я це зроблю.
SPEAKER_17 | 0:43:43.840 --> 0:44:30.533 |  Так, так, дякую за телефонування. Мама дуже сподівається. Ще раз вікування до вас всіх. Дякую, до зустрічі. Дякую, дякую, дякую. Даріна, чому ти не сидиш з нами? Ні, дякую. Сідай, сідай, зруйнуйся. Сідай, сідай. Практично, я є чоловіком фамілії. Тому я їжджу з нами. Сідай. Дякую. Хвилинку?
SPEAKER_03 | 0:44:31.512 --> 0:44:32.103 |  Дякую.
SPEAKER_04 | 0:44:44.658 --> 0:45:45.20 |  Вибачте, я піду, я дуже стиснулася. Починайте. Алесандро? Алесандро? Що це, мама? З'їхали вороги, зберігали коланку.
SPEAKER_17 | 0:45:45.627 --> 0:45:46.977 |  Який ладрі? Який ладрі?
SPEAKER_04 | 0:45:46.268 --> 0:45:53.137 |  Мене вбивали! Що ти кажеш? Я телефонувала поліцію, зараз приїду.
SPEAKER_17 | 0:45:53.339 --> 0:45:54.250 |  Найчиматова поліція.
SPEAKER_04 | 0:45:55.685 --> 0:46:4.122 |  А зараз прийде поліцейська. Звичайно, це не звичайно. Це не звичайно, це була вона. Це була вона.
SPEAKER_14 | 0:46:4.122 --> 0:46:4.527 |  Дякую.
SPEAKER_04 | 0:46:5.354 --> 0:46:9.218 |  Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо, Тихо,
SPEAKER_11 | 0:46:32.793 --> 0:46:39.87 |  Доброго вечора, поліція, ми відповіли на вбивство у будинку пані Кривизі. Ви хто? Документи, будь ласка.
SPEAKER_17 | 0:46:39.87 --> 0:46:45.128 |  Агент, я втратився за цю дзвінку, але, насправді, не можна так сказати. Мама – дитина, яка має певну віту.
SPEAKER_11 | 0:46:39.121 --> 0:46:39.931 |  А, дженті, я...
SPEAKER_17 | 0:46:45.297 --> 0:48:17.637 |  Сьогодні все більше відбувається розміщення речей. Сьогодні була дуже стресована доба для неї, тому що я зберігся, я повинен прийти з дитиною. Вона чекала на мене з багато безпеки, я приготував їй торт, купував їй подарунок, але моя працівниця не дозволила їй. Вона, мама, вбивала вона дуже погано, тому, насправді, вона вийшла дуже нервована, потім вийшла до літа. Тому, якщо можна, залишимо її. Я знаю, що це не практика, але, насправді... Ви, будь ласка... Дякую. Дякую. Дякую. До зустрічі. Дякую. До зустрічі. До зустрічі, до зустрічі. Доброго роботи. Субтитрувальниця Оля Шор Я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працюю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю, я не працю
SPEAKER_25 | 0:48:20.945 --> 0:48:38.478 |  Чого ж ви зі мною дискотейно? Дякую за перегляд!
SPEAKER_04 | 0:49:31.263 --> 0:49:33.592 |  Ти з'явилася також від цього.
SPEAKER_18 | 0:50:6.25 --> 0:50:8.388 |  О, Йо!
SPEAKER_25 | 0:50:37.278 --> 0:50:43.336 |  Чуєш, Митрі, може ми не наїхати в ту Італію?
SPEAKER_09 | 0:50:47.150 --> 0:50:54.119 |  Лежися тут. Ну якось воно буде. Хіба ми не пораємося?
SPEAKER_07 | 0:50:56.752 --> 0:51:5.408 |  Роботу тут без собі найду. Можеш ще дитинку народжу.
SPEAKER_14 | 0:51:6.320 --> 0:51:41.150 |  Як наїхати? В ділю стоїть робота нема. Грошей нема. Яка тут робота? В хаті треба всередині ще. О, так, вони такі ж, сама сказала.
SPEAKER_18 | 0:51:47.427 --> 0:51:48.355 |  Спи.
SPEAKER_08 | 0:51:57.637 --> 0:51:59.273 |  Як ви тут без мене вперетесь?
SPEAKER_07 | 0:52:3.172 --> 0:52:5.28 |  Я поїду, тобі говорити зі мною разом.
SPEAKER_08 | 0:52:9.753 --> 0:52:10.597 |  Дякую.
SPEAKER_00 | 0:52:16.283 --> 0:52:22.865 |  Мам! Мам!
SPEAKER_06 | 0:52:28.231 --> 0:52:32.669 |  Та я перше, то воду робить, добре? Ну, гроші я прийшлю.
SPEAKER_13 | 0:53:24.965 --> 0:53:27.513 |  Метро! Здорово!
SPEAKER_14 | 0:53:49.990 --> 0:53:55.576 |  Дівок своїх проводив, то тепер холостякую.
SPEAKER_13 | 0:53:56.690 --> 0:54:7.270 |  За євро ми свою відправили. Гарне діло. І в мене гарне діло є. Єврика ми потім віддаси, а?
SPEAKER_18 | 0:54:7.304 --> 0:54:7.642 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:54:8.232 --> 0:54:9.93 |  Жартуєш.
SPEAKER_11 | 0:54:13.463 --> 0:54:20.332 |  Давай занашик, жінок вип'ємо, щоб їм там гарно робилося. Твоя, бач, недовго побула, а моя…
SPEAKER_14 | 0:54:22.188 --> 0:54:27.976 |  Ірина казала, робота така. Кури вони там всі.
SPEAKER_11 | 0:54:27.976 --> 0:54:28.685 |  Дякую за перегляд!
SPEAKER_13 | 0:54:41.358 --> 0:54:45.610 |  Чого? Дурний ти, Митра.
SPEAKER_15 | 0:55:27.275 --> 0:56:8.45 |  Марія, дякую. Чого ти тут? Я не сподівався, що ти звернешся. Софія, а сьогодні? Можна, можна, я одразу прийду. Марія, я не кричу. Добре, я приготую себе, я приготуюся. Дякую, дякую, дякую. Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна, Даріна,
SPEAKER_09 | 0:56:9.40 --> 0:56:13.445 |  Треба піти. Ти теж залишилася швидко.
SPEAKER_15 | 0:56:19.300 --> 0:56:20.77 |  Ось це джероза.
SPEAKER_08 | 0:56:22.456 --> 0:56:23.266 |  Не, сонечко, не сонечко.
SPEAKER_09 | 0:56:26.50 --> 0:56:28.177 |  Він не хоче, щоб твоя мама корчилася з нами.
SPEAKER_18 | 0:58:43.160 --> 0:58:43.784 |  Дякую!
SPEAKER_05 | 0:58:45.218 --> 0:58:46.349 |  Пала! Пала!
SPEAKER_10 | 0:58:46.349 --> 0:58:51.293 |  Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь! Амінь!
SPEAKER_05 | 0:58:47.75 --> 0:58:47.817 |  Субтитрувальниця Оля Шор
SPEAKER_10 | 0:58:51.665 --> 0:58:52.795 |  Хоча...
SPEAKER_08 | 0:58:52.154 --> 0:59:0.777 |  Так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так, так,
SPEAKER_17 | 0:59:1.81 --> 0:59:6.262 |  Марія, лейтарина, наша баланта. Дай, Марія.
SPEAKER_08 | 0:59:13.417 --> 0:59:18.968 |  Йдемо, ми в тиждень, я не хочу знайти трафік. Треба, треба, треба!
SPEAKER_04 | 0:59:53.579 --> 1:0:46.347 |  Ти думаєш, що я не зрозуміла про історію між тобою і моїм дитином? Але у Алесандро є родина. Я знаю, що це важко. Але ти маєш вважати цей подарунок. Так я більше спокійна, розумієш? Акцептай його, як подарунок однієї старшої дівчини Скорбуті. А я запитаю тебе, дівчина, дівчина. Будь ласка, залишися.
SPEAKER_24 | 1:0:50.212 --> 1:0:51.106 |  Для твоєї доби.
SPEAKER_09 | 1:1:24.721 --> 1:1:28.366 |  Мене сере, сеньора. Скузі, чирку галя?
SPEAKER_03 | 1:1:29.918 --> 1:1:30.442 |  Новини на Суспільному. Харків.
SPEAKER_09 | 1:1:30.610 --> 1:1:32.315 |  Ліна, Ліна, скажи.
SPEAKER_03 | 1:1:30.695 --> 1:1:33.7 |  Ліна, Ліна, скажи.
SPEAKER_09 | 1:1:33.226 --> 1:1:34.2 |  Дякую.
SPEAKER_03 | 1:1:33.243 --> 1:1:33.665 |  Дякую.
SPEAKER_09 | 1:1:41.360 --> 1:1:48.228 |  Галечко, це Дарина. Привіт. Галечко, можеш на хвилю вийти?
SPEAKER_18 | 1:1:51.29 --> 1:1:51.518 |  Дякую.
SPEAKER_09 | 1:1:51.518 --> 1:1:51.907 |  Угу.
SPEAKER_18 | 1:1:53.71 --> 1:1:53.645 |  Дякую за перегляд!
SPEAKER_26 | 1:2:3.685 --> 1:2:4.748 |  Дякую.
SPEAKER_04 | 1:2:9.575 --> 1:2:10.165 |  Субтитрувальниця Оля Шор
SPEAKER_25 | 1:2:11.532 --> 1:2:34.415 |  – Привіт. – Ось, привіт. – А що сталося? – Пусти до себе приночувати. Тобі що, вигнали мене? Так, треба тільки так подумати таке. А що трапилось? Магітна. Магітна? А від кого? Алесандро?
SPEAKER_27 | 1:2:36.389 --> 1:2:51.37 |  Слухай, ти знаєш, за що ти їх тепер тримаєш? Галя… Якщо треба, ми адвоката знайдемо. Не треба адвоката. Можна переночувати в тебе? Ти краще…
SPEAKER_22 | 1:2:50.969 --> 1:2:52.184 |  Ніна, що відбувається?
SPEAKER_27 | 1:2:52.825 --> 1:2:53.686 |  Та вороги і вороги.
SPEAKER_22 | 1:2:53.973 --> 1:2:54.749 |  Не, не мовлявся.
SPEAKER_27 | 1:2:54.563 --> 1:3:25.428 |  Аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, аморомі, Тарина!
SPEAKER_25 | 1:3:30.305 --> 1:3:31.992 |  Я не зможу тобі допомогти.
SPEAKER_02 | 1:5:34.606 --> 1:5:49.355 |  Ну от. Тепер добре видно. Так. Без хлопчиків. Я вас вітаю. Ніяких відхилень я не бачу. Абсолютно здорова дитинка. Витирайтесь.
SPEAKER_06 | 1:5:55.413 --> 1:5:57.590 |  Можна мені аборт? Роші мене є.
SPEAKER_02 | 1:5:59.193 --> 1:6:19.88 |  На борт? Та не питай мене. На цьому терміні даю вам скальпель в руки, і самі собі живота ріжете. Шлях баверських трав. Ви тільки взялися на мою голову.
SPEAKER_21 | 1:6:41.144 --> 1:6:41.684 |  Марося?
SPEAKER_09 | 1:6:51.691 --> 1:7:0.61 |  Миросю. А де інші?
SPEAKER_21 | 1:7:13.325 --> 1:7:21.155 |  Я тобі гостинці привезла, а ну, подивись. Купила тобі плаття.
SPEAKER_09 | 1:7:22.775 --> 1:7:37.220 |  Тільки то, не знаю, чи підійде, бо не все вимірювала, чи вигадала розмір. Мирось, помірюй. Вставай. Туфлі.
SPEAKER_08 | 1:7:44.543 --> 1:7:45.50 |  Розі!
SPEAKER_09 | 1:8:8.371 --> 1:8:8.962 |  Від кого?
SPEAKER_27 | 1:8:42.340 --> 1:8:43.538 |  Мам, що ти робиш?
SPEAKER_07 | 1:8:46.627 --> 1:8:47.167 |  Його слава.
SPEAKER_23 | 1:8:50.322 --> 1:8:52.43 |  І що ж ви пропонуєте?
SPEAKER_09 | 1:8:53.917 --> 1:9:6.590 |  Весілля. І швидше. Ну, поки живота не видно. Бо знаєте, у мене є дуже хороший адвокат. Віталій.
SPEAKER_23 | 1:9:8.767 --> 1:9:19.398 |  Італійськими адвокатами мене ще ніколи не лякали. Грамотні стали. Добре, розберемось.
SPEAKER_01 | 1:9:20.933 --> 1:9:32.510 |  Українські починенники не тільки на Дніпрянській Україні, а й Галичини та Буковини, не чувши новивіяння, прагнули в своїх творах передати пафос визвольної боротьби народу.
SPEAKER_22 | 1:9:36.509 --> 1:10:6.260 |  Ти чого? А ти не знаєш? Що було з дівкою? Що? З якою? Ти не знаєш. З Мирославою. Та нічого так, нічого особливого. Один раз закрутилося. Вона, між іншим, вагітна. Там, воно, з матір'ю біля виходу чекає. Може хочеш піти поговорити з нею? Я не можу. Мені про що говорити? І чому це все вирішили, що це я? Ввечері поговоримо.
SPEAKER_23 | 1:10:19.895 --> 1:10:55.130 |  Я тут все з'ясував, як батько я вас, звичайно, розумію, але давайте будемо реалістами. Вони ще самі діти, куди їм мала дитина? Помилка молодості. Я вам тут телефончик запишу. Ну і звичайно, грошова компенсація в межах розумного. Звичайна життєвська ситуація. Думаю, ви мені передзвоните. Тільки щоб пізно було.
SPEAKER_08 | 1:11:20.830 --> 1:11:22.282 |  Мам, може мені аборт зробити?
SPEAKER_09 | 1:11:27.766 --> 1:11:35.849 |  Не смій мені навіть таке думати. Ти знаєш, що це таке? Не плач.
SPEAKER_08 | 1:11:37.250 --> 1:11:37.857 |  Не плач.
SPEAKER_14 | 1:12:2.545 --> 1:12:29.967 |  Це що ж виходить, що в мене донька — курва? Якого дитину принесла? Звідки?
SPEAKER_09 | 1:12:29.967 --> 1:12:41.560 |  Тихо! Тихо! Тихо! Треба було за нею дивитися. Раніше треба було вчити. Не кричи, їй нервувати не можна.
SPEAKER_14 | 1:13:6.535 --> 1:13:13.893 |  Ти цього ковиру дати будеш.
SPEAKER_18 | 1:14:14.710 --> 1:14:26.540 |  Дмитре, тихо, я не хочу. Чого? Не. Не?
SPEAKER_25 | 1:14:27.46 --> 1:14:39.652 |  Та ну, ну не треба, ну я прошу, ну я прошу, ну я не можна мені, я прошу, Дмитре, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я, ну я,
SPEAKER_18 | 1:14:39.652 --> 1:14:41.18 |  Це є безумно!
SPEAKER_14 | 1:14:52.932 --> 1:15:2.197 |  Ли, живи таки.
SPEAKER_09 | 1:15:5.82 --> 1:16:7.587 |  Що і раз, як була тут? Тут як головна свій шлях, ти бачиш? Я тебе просила, я тебе облагала, не пускай мене, давай нікуди не поїду, будемо тут жити, народжу дитинку, ти сам мене відправив, тобі тільки гроші, гроші подавай. Добре було тут жити на моїй яйорі, так? Ти в цьому винен. Ти тут все зробив. Який ти мужик після цього.
SPEAKER_14 | 1:16:10.557 --> 1:16:11.198 |  Дякуємо.
SPEAKER_09 | 1:16:27.635 --> 1:16:29.795 |  Маруся, не спад.
SPEAKER_22 | 1:18:27.262 --> 1:18:28.4 |  Добрий вечір.
SPEAKER_09 | 1:18:29.185 --> 1:18:30.12 |  Добрий вечір, махайся.
SPEAKER_22 | 1:18:31.582 --> 1:18:32.54 |  Можна я?
SPEAKER_09 | 1:18:34.501 --> 1:18:35.260 |  Заходь, заходь.
SPEAKER_22 | 1:18:46.583 --> 1:18:49.165 |  Я от про Мирославу поговорять.
SPEAKER_09 | 1:18:50.684 --> 1:18:51.697 |  То з Мирославою говоріть.
SPEAKER_15 | 1:18:56.152 --> 1:18:57.147 |  А де дядько Дмитро?
SPEAKER_09 | 1:18:57.417 --> 1:19:5.45 |  У себе. На новій хаті там сторожує, а я за ним збігаю, а ви й поговоріть. Морозю.
SPEAKER_15 | 1:19:26.425 --> 1:19:29.767 |  Мирослава, ви хочете за мене?
SPEAKER_02 | 1:19:32.888 --> 1:19:33.833 |  Дурний чи сліпий?
SPEAKER_15 | 1:19:38.322 --> 1:19:39.301 |  Я тобі і таку візьму.
SPEAKER_08 | 1:19:41.326 --> 1:19:43.30 |  А потім що, будеш дитину ростити?
SPEAKER_22 | 1:19:45.983 --> 1:19:46.844 |  Якусь заробимо.
SPEAKER_02 | 1:19:49.223 --> 1:19:51.620 |  Ти зараз такий добрий, а потім мені жити не досить.
SPEAKER_08 | 1:20:0.682 --> 1:20:7.972 |  Ну шо, Мирослава, іди додому! Іди, кажу!
SPEAKER_24 | 1:20:7.972 --> 1:20:8.225 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 1:20:39.612 --> 1:20:42.835 |  Миросю, куди Михас?
SPEAKER_24 | 1:20:44.911 --> 1:20:46.328 |  Вам всім від мене треба.
SPEAKER_09 | 1:20:53.315 --> 1:20:55.188 |  Не була б вона дочкою свого батька.
SPEAKER_13 | 1:20:56.690 --> 1:20:57.365 |  Я піду.
SPEAKER_09 | 1:20:59.170 --> 1:21:28.600 |  Чекай. Дмитре, зайди на два слова. Ну зайди, сідай. Ти ж, мабуть, не їв нічого. Тобі їсти дам зараз.
SPEAKER_07 | 1:21:39.772 --> 1:21:43.417 |  Сідай.
SPEAKER_09 | 1:21:47.365 --> 1:22:21.571 |  Слухай, ти оце, ти вертайся додому, до хати, бо сусіди пліткують. Ну так не годиться, знаєш. Їш, їш. Будемо жити, все буде нормально. Ну, бо ти сам подивися, що ти з сім'єю наробив.
SPEAKER_14 | 1:22:41.95 --> 1:22:42.496 |  Іди ти в сраку!
SPEAKER_13 | 1:22:58.679 --> 1:22:59.523 |  Що, запекла?
SPEAKER_14 | 1:23:1.632 --> 1:23:7.842 |  Так. Їхала в Італію одна жінка, повернулася друга.
SPEAKER_11 | 1:23:10.660 --> 1:23:24.380 |  А я давно кажу, виїхати не важко. Вони по тих італіях, казано, що роблять. А ми тут жили надриваємо. Давай, за нас, мужиків.
SPEAKER_14 | 1:23:43.752 --> 1:23:50.857 |  Хіба я мало робив, і вдень і вніч, як волна ті будівлі трахається.
SPEAKER_13 | 1:23:52.308 --> 1:24:21.215 |  Один хлопець, такий як ми з тобою, дружина в Італії, а він тут будову затіяв. Купив болгарку, почав арматуру різати, а та болгарка йому рак і зламалася. Ну, він її розібрав, коли дружина дзвонить, ну, каже, як ти тут? Каже, як? Болгаркою трахаюсь. Він каже, добре, що ти почав. Я, каже, півроку вже з італійцем трахаюсь, все не знали, як тобі сказати.
SPEAKER_18 | 1:24:21.974 --> 1:24:26.733 |  Хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-хе-
SPEAKER_13 | 1:24:28.538 --> 1:24:42.545 |  Ти чого? Дмитро, я ж до слова. Побіться його.
SPEAKER_14 | 1:24:46.747 --> 1:25:27.770 |  Морду треба було б набити, до слова. Відйом, я клієнтів привів.
SPEAKER_09 | 1:25:28.23 --> 1:25:30.31 |  Шлях би ти трапив, до цього не бився.
SPEAKER_14 | 1:25:30.520 --> 1:25:42.653 |  Мирозів, так, збирай постіль і бігом встелитися, я поки цей повключаю там усе. Вже бігом!
SPEAKER_18 | 1:26:16.100 --> 1:26:21.770 |  Ой, ой, ой, аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
