SPEAKER_22 | 0:1:24.557 --> 0:1:25.350 |  Це Вовчик.
SPEAKER_12 | 0:29:30.420 --> 0:29:34.82 |  – То це ти? – Попович я, кальоша не моя.
SPEAKER_06 | 0:29:36.209 --> 0:29:46.418 |  Олешко, ти не повіриш. В нашому світі про вас усі знають, про вас сказки дітям розказують. То я в вашому світі відомий? Ще який? Ти — богатири сказки.
SPEAKER_12 | 0:29:48.662 --> 0:29:57.589 |  Як казковий богатир. Круто. Треба росанці розказати. Щоб знала, з ким має справу.
SPEAKER_11 | 0:30:3.40 --> 0:30:6.179 |  Здається, хлопець освоївся.
SPEAKER_12 | 0:30:12.557 --> 0:30:31.677 |  Це було круто. Чувак, добрий вечір, Рубанов. Казав навчу, от і навчив. Де мій там балахон? Дякую.
SPEAKER_06 | 0:30:38.393 --> 0:30:47.573 |  Орлик! Орлик! Вимкни. Воно, бачиш, написано. То ти покажеш дорогу?
SPEAKER_12 | 0:30:47.573 --> 0:30:47.843 |  Дякую!
SPEAKER_06 | 0:30:47.843 --> 0:30:47.978 |  Дякую!
SPEAKER_12 | 0:30:47.978 --> 0:30:47.995 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:30:47.995 --> 0:31:36.21 |  Це, значить, Римів, тут у нас поле, за полем у нас ліс, тут все. А тобі це? Ручка мені потрібна, я на її блокноті пишу. Блокноті? Забудь. Тільки ліпрці — ні слова. Розанку?
SPEAKER_15 | 0:31:36.21 --> 0:31:36.747 |  Розсадь!
SPEAKER_06 | 0:31:36.747 --> 0:31:36.831 |  Субтитрувальниця Оля Шор
SPEAKER_28 | 0:31:40.965 --> 0:31:41.877 |  Ану хто там є?
SPEAKER_14 | 0:31:41.877 --> 0:31:41.894 |  Субтитрувальниця Оля Шор
SPEAKER_28 | 0:31:43.92 --> 0:31:43.109 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:31:43.109 --> 0:31:51.310 |  А ну! Мамо, це, мабуть, дід Овсій знову якусь штуку придумав. Ідіть спати.
SPEAKER_15 | 0:31:51.310 --> 0:31:51.546 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:31:51.546 --> 0:31:51.580 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:31:51.580 --> 0:31:51.597 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:31:51.597 --> 0:31:51.884 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:31:51.884 --> 0:31:52.35 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:31:52.35 --> 0:31:52.677 |  Дякую.
SPEAKER_06 | 0:31:52.677 --> 0:31:52.694 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:31:55.866 --> 0:31:56.642 |  Росанку!
SPEAKER_14 | 0:32:3.274 --> 0:32:6.852 |  Ти що, здурів? Чого ти кричиш на весь Римів?
SPEAKER_12 | 0:32:6.885 --> 0:32:9.484 |  Ти уявляєш? Я казковий богатир!
SPEAKER_14 | 0:32:9.687 --> 0:32:15.475 |  М-м-м, казковий, коли ти вже почнеш головою працювати?
SPEAKER_16 | 0:32:15.762 --> 0:32:20.875 |  То я працюю. Я… Я ось. Дивись.
SPEAKER_12 | 0:32:24.317 --> 0:32:26.72 |  Та зачекай...
SPEAKER_14 | 0:32:34.54 --> 0:32:35.252 |  А як це воно?
SPEAKER_12 | 0:32:37.699 --> 0:32:39.674 |  Ходімо до озера і розповімо.
SPEAKER_14 | 0:32:39.674 --> 0:32:39.944 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:32:39.944 --> 0:32:40.62 |  Дякую!
SPEAKER_14 | 0:32:40.62 --> 0:32:40.79 |  Субтитрувальниця Оля Шор
SPEAKER_12 | 0:32:40.79 --> 0:32:40.129 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:32:40.129 --> 0:32:44.78 |  Тссс, іду, я пішла.
SPEAKER_12 | 0:32:40.214 --> 0:32:41.7 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_14 | 0:32:44.685 --> 0:32:44.972 |  Та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та-та
SPEAKER_12 | 0:32:44.972 --> 0:32:45.23 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:32:45.23 --> 0:32:52.819 |  Ходімо, розповім Я з тобою по озерах, вештатись не буду, і не проси
SPEAKER_24 | 0:33:10.420 --> 0:33:15.921 |  Ти – наші очі. Ми побачимо, коли настане час діяти.
SPEAKER_06 | 0:34:1.416 --> 0:34:5.483 |  Ти… Ти чого? Я ж тебе поцілити міг.
SPEAKER_04 | 0:34:8.234 --> 0:34:12.689 |  Я? Я нічого. Я гриби збираю. А ти сам чого?
SPEAKER_06 | 0:34:14.174 --> 0:34:30.644 |  Я до Волхвайду. Мені додому треба. Розумієш? До речі, ти... ти знаєш, де це?
SPEAKER_04 | 0:35:29.115 --> 0:35:31.124 |  Ну, начебто прийшли.
SPEAKER_06 | 0:35:52.977 --> 0:36:9.632 |  Це я. А ви пан Вовк? Ось я прийшов. Як мені потрапити додому? В мій час! Щоб не чекати затемнення!
SPEAKER_07 | 0:36:11.505 --> 0:36:13.41 |  Знання за...
SPEAKER_06 | 0:36:16.95 --> 0:36:18.542 |  Випробування? Я готовий.
SPEAKER_07 | 0:36:29.325 --> 0:36:51.330 |  Свої страхи відкрий, найпотаємніші. Якщо розповіси не те, в моєму світі залишишся навік. Твій час пішов.
SPEAKER_06 | 0:36:59.177 --> 0:37:18.972 |  Одного разу ми з батьками поїхали в гори. Там був дуже високий міст. Сталась аварія, і наша машина зірвалася вниз. І ми падали.
SPEAKER_19 | 0:37:18.972 --> 0:37:19.22 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:37:19.22 --> 0:37:19.799 |  І я кричав.
SPEAKER_19 | 0:37:19.799 --> 0:37:24.186 |  Кричав, кричав.
SPEAKER_06 | 0:37:26.734 --> 0:37:36.825 |  Мені і досі страшно. Я дуже боюсь висоти. І тому я не врятував друга.
SPEAKER_07 | 0:37:40.369 --> 0:37:53.211 |  На світі перун-камінь є. Поміж віками здатен провести. Однак знайти його — не кожен смертний сон.
SPEAKER_06 | 0:37:53.869 --> 0:37:54.831 |  А де його шукати?
SPEAKER_07 | 0:37:55.641 --> 0:38:12.972 |  шукати його, де безкрилі гніздяться. А побачиш його, коли вітер загнуздаєш. Могутню силу вивільнити зможе лише той, хто здатен серцем дотркнутися
SPEAKER_08 | 0:38:12.972 --> 0:38:22.84 |  Дивися до серця та пам'ятай, та сила деревня біду і лихо сіє кром себе.
SPEAKER_06 | 0:38:29.290 --> 0:38:31.500 |  Де він? Де він подівся?
SPEAKER_04 | 0:38:32.479 --> 0:38:34.150 |  Ти з чого? Ми тут самі.
SPEAKER_06 | 0:38:35.837 --> 0:38:36.968 |  Скільки часу мене не було?
SPEAKER_04 | 0:38:37.829 --> 0:38:39.803 |  Тобто, ти поряд стоїш?
SPEAKER_06 | 0:38:42.165 --> 0:39:2.27 |  Ходімо. Ходімо звідси. Він сказав, що якийсь перун камінь треба знайти. А шукати його там, де безкрилі гніздяться. А побачиш його, коли вітер загнуздаєш. І що це маячня значить?
SPEAKER_04 | 0:39:4.322 --> 0:39:10.701 |  Де безкрилі гніздяться? Є в нас село одне. Лелеча його називають.
SPEAKER_06 | 0:39:18.92 --> 0:39:19.189 |  І тут наче тепліше.
SPEAKER_04 | 0:39:27.137 --> 0:39:47.674 |  Оце і є лелече. Тутешні люди добрі і трошки дивні. Вони не вміють сердитись, не заздрять, не воюють. Вони як діти. Кажуть, що їхні предки колись лелеками були. Дуже давно. Тільки як ми тут камінь знайдемо?
SPEAKER_06 | 0:39:48.400 --> 0:39:49.109 |  Нам треба...
SPEAKER_04 | 0:39:49.969 --> 0:39:50.391 |  Що?
SPEAKER_06 | 0:39:51.32 --> 0:39:53.513 |  Загнуздати вітер.
SPEAKER_15 | 0:40:5.258 --> 0:40:9.4 |  Класно. Класно.
SPEAKER_06 | 0:40:27.702 --> 0:40:39.413 |  А-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-
SPEAKER_15 | 0:40:39.970 --> 0:41:1.232 |  Дякую за перегляд!
SPEAKER_06 | 0:41:1.232 --> 0:41:1.789 |  Є!
SPEAKER_24 | 0:41:18.698 --> 0:41:21.938 |  Маленький шейтан знайшов те, що нам треба.
SPEAKER_04 | 0:41:29.987 --> 0:41:33.261 |  Половці, половці!
SPEAKER_15 | 0:41:33.261 --> 0:41:34.139 |  Дякую!
SPEAKER_09 | 0:42:33.539 --> 0:42:38.297 |  Ми з Добриною з іншого боку зайдемо, а ти, Олешко, за старшого лишайся.
SPEAKER_15 | 0:42:38.635 --> 0:42:40.508 |  Оу, зєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєєє
SPEAKER_13 | 0:42:42.600 --> 0:42:43.849 |  За мною!
SPEAKER_09 | 0:42:54.497 --> 0:42:57.518 |  Ти диви, як ми вдало заїхали, га?
SPEAKER_13 | 0:43:1.973 --> 0:43:1.990 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:43:1.990 --> 0:43:2.24 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:43:2.24 --> 0:43:2.40 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:43:2.40 --> 0:43:2.125 |  Дякую за перегляд!
SPEAKER_13 | 0:43:2.125 --> 0:43:2.175 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:43:2.175 --> 0:43:3.120 |  Ха, зніму.
SPEAKER_13 | 0:43:3.120 --> 0:43:3.947 |  Железяку.
SPEAKER_09 | 0:43:4.977 --> 0:43:6.57 |  Хай як щастить, лад.
SPEAKER_13 | 0:43:7.35 --> 0:43:8.841 |  Стріла в лоб, значить стріла в лоб.
SPEAKER_06 | 0:43:9.786 --> 0:43:10.275 |  Сумачі.
SPEAKER_11 | 0:44:6.199 --> 0:44:9.625 |  Тривісімо. Сімнадцять.
SPEAKER_01 | 0:44:14.637 --> 0:44:18.214 |  А-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-а-
SPEAKER_15 | 0:44:18.214 --> 0:44:21.522 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_09 | 0:44:22.619 --> 0:44:23.783 |  Вісімнадцять.
SPEAKER_15 | 0:44:23.699 --> 0:44:24.660 |  Ха-ха-ха!
SPEAKER_04 | 0:44:24.660 --> 0:44:24.677 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:44:26.871 --> 0:44:26.905 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:44:26.905 --> 0:44:30.651 |  Йоп! Вам же казали, чого ви пішли?
SPEAKER_04 | 0:44:30.820 --> 0:44:32.69 |  Дідусико, на минув!
SPEAKER_11 | 0:44:32.69 --> 0:44:39.139 |  Я тобі дам, дідусику. Я тобі дам. Добре, діду, дайте дітям поїсти. Їш і до хати.
SPEAKER_09 | 0:44:39.139 --> 0:44:39.190 |  Дякую!
SPEAKER_11 | 0:44:39.190 --> 0:44:39.949 |  І три дні швидше.
SPEAKER_09 | 0:44:39.949 --> 0:44:40.692 |  Щоб схатить!
SPEAKER_11 | 0:44:40.692 --> 0:44:40.725 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:44:40.725 --> 0:44:51.677 |  Ні ногою. Діду, треба повернути хлопця додому. З завтра на світанку до похмурої скери підете. Сподіваюсь, Перун Камінь тобі допоможе.
SPEAKER_16 | 0:45:5.160 --> 0:45:5.549 |  Дякую за перегляд!
SPEAKER_24 | 0:45:9.666 --> 0:45:57.810 |  Володарю, ми не встигли. Прибули римівці. І хлопець. Замовкни! Ти заманив мене у пастку до римівців? Мені не все відомо, Володарю. Але ворон бачив там хлопця з каменем. Через тебе я втратив загін своїх воїнів. Мені набридли твої помилки Без мене сила не прийде до ханових рук Я приведу до тебе каміння
SPEAKER_11 | 0:46:38.935 --> 0:46:42.158 |  От Короста не виходить.
SPEAKER_06 | 0:46:42.158 --> 0:46:51.743 |  Тут якась заковика. Ще волк про якісь серця казав, щоб силу вивільнити. Але як?
SPEAKER_11 | 0:46:54.797 --> 0:47:10.542 |  Сили в ньому немає. Є одна думка. Перун — повелитель грому і блискавок. Треба дочекати грози. Може, вона перун-камінь силою наповнить.
SPEAKER_06 | 0:47:22.253 --> 0:47:23.232 |  камінь не спрацював.
SPEAKER_13 | 0:47:30.623 --> 0:47:31.28 |  Дякую.
SPEAKER_04 | 0:47:32.580 --> 0:47:32.614 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:47:32.614 --> 0:47:33.171 |  Добре.
SPEAKER_04 | 0:47:33.171 --> 0:47:35.871 |  Не ходи!
SPEAKER_11 | 0:47:49.169 --> 0:48:0.593 |  Доки не перебереш усе, нема чого вештатись. А то знатимеш, як діда не слухати. А!
SPEAKER_06 | 0:48:0.593 --> 0:48:0.610 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:48:0.610 --> 0:48:0.779 |  Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр Миколаївич, Олександр
SPEAKER_06 | 0:48:0.779 --> 0:48:0.863 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:48:0.863 --> 0:48:0.964 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:48:0.964 --> 0:48:1.82 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:48:1.82 --> 0:48:1.99 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:48:2.500 --> 0:48:7.90 |  Я хотів сказати. Оленку ви дарма покарали. Це я її підбив, щоб вона дорогу показала.
SPEAKER_11 | 0:48:7.90 --> 0:48:7.140 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:48:7.782 --> 0:48:8.153 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:48:8.153 --> 0:48:15.38 |  Ти в дорогу підбив, а я підбив косолю перебирати. Може, порозумніше є. А можна подивитись?
SPEAKER_06 | 0:48:15.38 --> 0:48:24.825 |  Треба тобі там дивитись. Але у вас тут крила неправильні. На таких не полетиш. Чого це?
SPEAKER_11 | 0:48:24.825 --> 0:48:24.859 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:48:36.908 --> 0:48:50.205 |  Ось. Дивіться. Як це в тебе вийшло? Дуже просто. Аеродинаміка.
SPEAKER_11 | 0:48:50.442 --> 0:48:52.517 |  Це закляття якесь? Ні.
SPEAKER_06 | 0:48:52.517 --> 0:48:52.551 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:48:52.551 --> 0:48:52.619 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:48:52.619 --> 0:48:52.635 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:48:52.635 --> 0:49:3.30 |  Це наука. Я хочу зробити крила, щоб наші хлопці на половецькі голови шуліками падали. Можна зробити.
SPEAKER_06 | 0:49:3.30 --> 0:49:3.402 |  Дякую за перегляд!
SPEAKER_11 | 0:49:4.600 --> 0:49:4.634 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:49:4.634 --> 0:49:13.510 |  Згори. А звідси вежа зовсім інша. Її справді на честь богатиря назвали?
SPEAKER_04 | 0:49:14.455 --> 0:49:17.307 |  Про це легенда є. Ти віриш у легенди?
SPEAKER_06 | 0:49:17.695 --> 0:49:20.91 |  Колись не вірив, а тепер...
SPEAKER_04 | 0:49:23.95 --> 0:50:14.226 |  Давно це було. Жив у нашому краї богатир, твердиня. І була у нього кохана дівчина, Зоряна. Вирішили вони побратися. Але саме в той день пішла Зоряна до темного лісу і не повернулась. Довго шукав її твердиня у хащах, але так і не знайшов. Біль і розпач переповнили його серце і вирвав його богатир із грудей. і пожбурив у глибокій нетрі, щоб до коханої ближче було. І в ту саму мить так і зробився вежею кам'яною. А серце його також на камінь перетворилось. Хто кам'яне серце знайде, той справжнє кохання зустріне. Або втрачене відшукає.
SPEAKER_06 | 0:50:14.749 --> 0:50:15.188 |  Як це?
SPEAKER_04 | 0:50:15.981 --> 0:50:22.495 |  Ну, хто знає, але я вірю, що воно є.
SPEAKER_06 | 0:50:28.907 --> 0:50:29.363 |  Це тобі.
SPEAKER_04 | 0:50:33.109 --> 0:50:37.294 |  Вітя, ти... ти особливий.
SPEAKER_24 | 0:50:47.824 --> 0:50:59.97 |  Камінь сили, проклади шлях до мене. Я закликаю тебе. Прийди.
SPEAKER_11 | 0:51:5.239 --> 0:51:43.950 |  От якби хтось сказав, що я оцього робити маю. Що оцього? Та оцього пристрій для польотів. Дельта, дельта, на! Дельтаплан. А, я з дитинства хотів бачити, як людина літає. Спочатку сам пробував. Робив крила з дощок і пір'я, і плигав з дерев. І як? Як? О, бачиш? О! О! Ого! Тут це після падіння?
SPEAKER_06 | 0:51:43.950 --> 0:51:44.18 |  Дякую за перегляд!
SPEAKER_11 | 0:51:44.592 --> 0:51:49.114 |  Не після падіння, а після польоту. Короткого польоту.
SPEAKER_12 | 0:51:50.954 --> 0:51:59.37 |  Здоров'я були. Вас там дядько Ілько кличе. Сказав, щоб негайно прийшли. А чого так швидко? Та я не знаю.
SPEAKER_11 | 0:52:18.595 --> 0:52:18.612 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 0:52:18.612 --> 0:52:32.770 |  Що трапилося? Ми полонених взяли. Дізналися дещо. Виявляється, вони на Лолеча не випадково напали. Вони шукали там хлопця з каменем.
SPEAKER_06 | 0:52:35.166 --> 0:52:36.516 |  Звідки вони про мене знають?
SPEAKER_09 | 0:52:37.900 --> 0:52:48.8 |  Оцього я не знаю, але якщо Самандек полюється каменем, то не для добрих справ він йому потрібен.
SPEAKER_11 | 0:52:48.8 --> 0:52:57.998 |  Треба десь камінь заховати. Давайте я сховаю камінь. Ну, або сам сховаюсь. Ховайся, ховайся, Вадим.
SPEAKER_21 | 0:52:58.251 --> 0:53:0.715 |  Хлопці, а йдіть горіхи їсти!
SPEAKER_11 | 0:53:0.934 --> 0:53:1.677 |  Нема коли.
SPEAKER_21 | 0:53:2.284 --> 0:53:2.571 |  Так.
SPEAKER_11 | 0:53:7.650 --> 0:53:48.488 |  Нема! Як? Камінь зник! Чи є в тебе глуш, жінко? Це ж магічний артефакт. Чула? Магічний антифакт, а ти ним колиш горіхи.
SPEAKER_17 | 0:53:49.129 --> 0:53:49.484 |  Дякую!
SPEAKER_15 | 0:53:49.484 --> 0:53:49.517 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:53:50.277 --> 0:54:8.468 |  Хм. Треба якось краще його сховати. Це повинно бути таке місце, щоб ні Меланка, ні Половці, ні інші шкідники не дістали. Є таке місце. От оно. Ходімо зі мною.
SPEAKER_06 | 0:54:13.986 --> 0:54:14.729 |  Я туди не піду.
SPEAKER_11 | 0:54:22.255 --> 0:54:51.330 |  Там найнадійніше місце. То ви самі заховайте. Страх любить самотніх. Він їх легко долає. А коли чого боїться, уяви, що поруч з тобою друзі, яких ти любиш. І страх щезне. Ти тут не сам, синку. З тобою весь Римів. Увесь твій край.
SPEAKER_10 | 0:54:58.182 --> 0:54:58.772 |  Воро!
SPEAKER_11 | 0:55:39.104 --> 0:55:40.572 |  Приїхали.
SPEAKER_06 | 0:55:40.572 --> 0:55:40.589 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:55:40.589 --> 0:56:19.182 |  Здрастуйте, Діно! А шо це вас там додолу прилипло? Сидь, бо зараз прилипнеш у мене. Рука ще кріпка. Ти зможеш вийти? Ну що, вже не так страшно? Страшно.
SPEAKER_06 | 0:56:19.182 --> 0:56:19.992 |  Але вже менше.
SPEAKER_11 | 0:56:21.882 --> 0:56:27.248 |  От би ще камінь силою наповнився. Грози йому треба.
SPEAKER_24 | 0:56:41.997 --> 0:56:45.254 |  Час настав.
SPEAKER_06 | 0:56:52.290 --> 0:56:54.366 |  Нарешті гроза. Дочекалися.
SPEAKER_04 | 0:57:3.563 --> 0:57:8.693 |  Вітя, а пам'ятаєш, мене дід з дому не пускав і загадав мені, щоб я фасолю від гороху відбирала?
SPEAKER_15 | 0:57:9.250 --> 0:57:9.790 |  Ага.
SPEAKER_04 | 0:57:11.865 --> 0:57:15.207 |  А може їм разом краще? А я їх розлучаю.
SPEAKER_06 | 0:57:15.561 --> 0:57:20.421 |  Так, Оленко, справжня трагедія – розлука квасолі і гороху.
SPEAKER_04 | 0:57:21.29 --> 0:57:23.712 |  ти черстве, грубе і огидне створіння.
SPEAKER_06 | 0:57:25.804 --> 0:57:28.487 |  А нещодавно був особливий.
SPEAKER_28 | 0:57:39.659 --> 0:57:44.350 |  Доброго дня!
SPEAKER_06 | 0:57:54.846 --> 0:57:55.774 |  Чекай, я зараз.
SPEAKER_04 | 0:58:19.281 --> 0:58:20.159 |  Ти дуже можна.
SPEAKER_24 | 0:59:0.119 --> 0:59:12.150 |  Сідай! Сідай, стріляти буду! Тухаркан!
SPEAKER_15 | 0:59:26.967 --> 0:59:27.34 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:59:40.484 --> 0:59:43.403 |  Живий брат.
SPEAKER_24 | 0:59:41.294 --> 0:59:43.470 |  Живий брат.
SPEAKER_13 | 0:59:43.470 --> 0:59:46.744 |  Дякую.
SPEAKER_24 | 0:59:48.651 --> 0:59:52.549 |  Бачу, ти не змінився. Геть, прибери свої руки.
SPEAKER_13 | 0:59:53.72 --> 0:59:53.106 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:59:53.106 --> 0:59:53.427 |  Дякую!
SPEAKER_24 | 0:59:53.427 --> 0:59:54.68 |  Брат.
SPEAKER_15 | 0:59:53.460 --> 0:59:53.528 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:59:53.528 --> 0:59:53.612 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:59:53.612 --> 0:59:53.629 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 1:0:2.100 --> 1:0:3.96 |  Подороги.
SPEAKER_13 | 1:0:3.552 --> 1:0:5.138 |  Хай так і речах.
SPEAKER_24 | 1:0:5.54 --> 1:0:7.28 |  Досить. Іди звідси.
SPEAKER_13 | 1:0:5.290 --> 1:0:7.635 |  Іди звідси.
SPEAKER_24 | 1:0:7.635 --> 1:0:8.378 |  Слуга!
SPEAKER_13 | 1:0:7.754 --> 1:0:9.711 |  Слуга Маранапарта.
SPEAKER_24 | 1:0:9.930 --> 1:0:12.529 |  Заберіть його, щоб очі мої його не бачили.
SPEAKER_13 | 1:0:16.714 --> 1:0:16.731 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 1:0:16.731 --> 1:0:43.799 |  І перевдягніть його. Боги, відвернулися від мене. Мій великий Хане. Боги, з нами. З нами, мій володарю.
SPEAKER_06 | 1:0:47.224 --> 1:0:52.945 |  Ага. Зараз. Ну що там?
SPEAKER_11 | 1:0:54.160 --> 1:0:55.324 |  Ферун Камінь зник.
SPEAKER_06 | 1:0:56.235 --> 1:0:56.607 |  Як?
SPEAKER_11 | 1:0:56.607 --> 1:0:59.442 |  Здається, Тугарин його вкрав
SPEAKER_06 | 1:0:59.712 --> 1:1:8.487 |  То камінню Половців? І як нам його забрати? Як-як? Ну, чи вкрасти? Олешко, щось мені зараз не до жартів. Так пику багнюкою, намастити і вкрасти!
