SPEAKER_16 | 0:0:0.419 --> 0:0:13.463 |  Століттями Київська Русь перебувала в страху перед язичницькими богами і поставили на горі ідол Перуну, володарю Грому та Блискавки, і приносили йому жертви, називаючи богом своїм.
SPEAKER_07 | 0:26:18.46 --> 0:26:24.53 |  Оце визнанець! Ну як я вам історію забивахам? От це бест!
SPEAKER_20 | 0:26:19.666 --> 0:26:19.970 |  Ну так.
SPEAKER_11 | 0:26:19.970 --> 0:26:20.813 |  Аллілуйя!
SPEAKER_11 | 0:26:24.53 --> 0:26:25.977 |  Тухай, біта!
SPEAKER_11 | 0:26:26.568 --> 0:26:28.36 |  Якщо з нами щось станеться,
SPEAKER_02 | 0:26:28.36 --> 0:26:38.414 |  Ти будеш у цьому винен, зрозумів? Послухайте, хоча я не дуже вірю в такі речі, але зараз краще про таке не говорити.
SPEAKER_12 | 0:26:40.34 --> 0:26:40.726 |  Це нереальне.
SPEAKER_02 | 0:26:41.131 --> 0:26:42.8 |  Що на реальному?
SPEAKER_12 | 0:26:43.477 --> 0:26:47.611 |  Нереально тут заблукати. Я на кожному повороті розставив мітки.
SPEAKER_02 | 0:26:49.619 --> 0:26:51.475 |  А може, професор не заходив і що?
SPEAKER_11 | 0:26:51.998 --> 0:26:52.454 |  Катя!
SPEAKER_11 | 0:26:52.724 --> 0:26:59.238 |  Я пропоную вийти звідси і дочекатись професора зверху. Бо мені, якщо чесно, тут же просто набридло.
SPEAKER_05 | 0:27:0.976 --> 0:27:25.6 |  А я думаю, нам треба йти далі. Бути тут і повернутись без нічого – нас не зрозуміють. Якщо ми знайдемо ідол Перуна, слава і червоні дипломи нам гарантовано. А професор, я впевнений, пішов далі, щоб не наражати нас на можливі труднощі. Я йду тільки вперед.
SPEAKER_02 | 0:27:25.900 --> 0:27:28.651 |  Чуєш, Біта, а в яку сторону підем далі?
SPEAKER_05 | 0:27:29.444 --> 0:27:33.781 |  Зараз глянемо.
SPEAKER_05 | 0:27:47.855 --> 0:27:51.533 |  Чия вода?
SPEAKER_12 | 0:27:51.533 --> 0:27:51.972 |  Ну, так.
SPEAKER_05 | 0:27:51.972 --> 0:27:59.347 |  Але я навіть не відкривав. А хто тоді відкрив? Каспер, так? Біта, я сказав, що я не відкривав.
SPEAKER_04 | 0:27:59.43 --> 0:27:59.380 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 0:27:59.566 --> 0:27:59.819 |  Дякую!
SPEAKER_04 | 0:27:59.819 --> 0:28:3.785 |  Ей! Розпокойся! Він же каже, що не розливав воду!
SPEAKER_07 | 0:28:0.511 --> 0:28:4.713 |  Розпокойся! Він же каже, що не розливав воду!
SPEAKER_05 | 0:28:4.713 --> 0:28:5.17 |  Добрий день!
SPEAKER_07 | 0:28:5.17 --> 0:28:7.548 |  Попала в вас у віччині, і все одно краями...
SPEAKER_05 | 0:28:7.548 --> 0:28:8.20 |  Піде!
SPEAKER_05 | 0:28:8.442 --> 0:28:10.957 |  Ще одне слово, урод, я тебе тут зарив ці шволі!
SPEAKER_02 | 0:28:10.552 --> 0:28:12.172 |  Так хто тоді розмив воду?
SPEAKER_05 | 0:28:12.813 --> 0:28:14.467 |  Катя, яка різниця, хто?
SPEAKER_05 | 0:28:15.226 --> 0:28:16.947 |  Якщо хтось у розлив, то не на року.
SPEAKER_06 | 0:28:15.445 --> 0:28:15.749 |  Дякую.
SPEAKER_06 | 0:28:15.766 --> 0:28:16.154 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:28:16.188 --> 0:28:16.475 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:28:18.27 --> 0:28:19.445 |  А карту вже не повернути.
SPEAKER_02 | 0:28:20.845 --> 0:28:24.423 |  Вікі, ти не бачила, хто розливав? Я не розливала!
SPEAKER_11 | 0:28:24.423 --> 0:28:24.760 |  Блін.
SPEAKER_02 | 0:28:24.760 --> 0:28:25.283 |  Дякую!
SPEAKER_11 | 0:28:25.283 --> 0:28:33.907 |  Як нам тепер знайти вихід? Я не пам'ятаю, куди ми йшли. Це ж все ти, Вененбіта! Я ж казала, я ж казала вам!
SPEAKER_13 | 0:28:31.983 --> 0:28:32.843 |  Я ж казала!
SPEAKER_04 | 0:28:32.843 --> 0:28:34.379 |  Я сказала вам!
SPEAKER_11 | 0:28:34.379 --> 0:28:34.970 |  Вау, вау, вау!
SPEAKER_04 | 0:28:34.970 --> 0:28:35.223 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 0:28:35.358 --> 0:28:40.420 |  Біта! Заспокойся!
SPEAKER_01 | 0:28:40.420 --> 0:28:41.888 |  Та фіт з нею з тою водою!
SPEAKER_01 | 0:28:44.875 --> 0:28:45.972 |  Давай, ти краще дума.
SPEAKER_05 | 0:28:45.972 --> 0:28:59.33 |  Як нам звідси вибратися? Все нормально. Я на кожному повороті розставив мітки. І тепер немає нічого простішого, ніж по них дійти до виходу. Але ж ми домовилися знайти їдло Перуна. Який нафіг Перун?
SPEAKER_11 | 0:28:59.472 --> 0:29:7.302 |  Слухай, малюк, якщо тобі цих отак треба, ти виведи нас і вали собі шукати свого Перуна на всі чотири сторони!
SPEAKER_02 | 0:29:7.505 --> 0:29:17.967 |  Тільки, може, і справді треба спробувати дійти до кінця, але з ним вже тут. А з цього місця зробимо нову карту. Ні, Катя! Якщо хочеш проблем, ти їх постійно знаходиш.
SPEAKER_11 | 0:29:17.967 --> 0:29:18.237 |  Новини на Суспільному. Харків.
SPEAKER_11 | 0:29:18.777 --> 0:29:20.684 |  то йди собі з мальком, а я повертаюся.
SPEAKER_01 | 0:29:21.173 --> 0:29:28.109 |  З мене теж досить такого релаксу. Тим більше, що компанія псується у нас просто на очах. Все, валим жвіться.
SPEAKER_12 | 0:29:34.100 --> 0:29:36.783 |  Так що, ти йдеш вперед чи повертаєшся?
SPEAKER_17 | 0:29:46.958 --> 0:29:47.903 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:29:50.536 --> 0:29:53.573 |  Я трохи пам'ятаю дорогу. Зараз знайдемо вихід.
SPEAKER_11 | 0:29:55.733 --> 0:29:57.168 |  Зліво! Зліво, малюк!
SPEAKER_05 | 0:29:58.990 --> 0:30:24.83 |  Я вже починаю пригадувати, за цим поворотом йде роздвоєння тунелі. Там ми повернемо направо, там повинно бути наступне об'єднання. Блін, мене має бути тут. Я ж точно пам'ятаю, як мені тут стало.
SPEAKER_11 | 0:30:24.775 --> 0:30:26.75 |  Та погано її намалювати!
SPEAKER_05 | 0:30:28.117 --> 0:30:30.597 |  Давайте до наступного повернемося. Там точно буде.
SPEAKER_11 | 0:30:44.840 --> 0:30:46.932 |  Що, немає?
SPEAKER_01 | 0:30:49.278 --> 0:30:59.167 |  Чудово. От і вибрались. Що за херня твориться? Я не їду. Все влажить.
SPEAKER_02 | 0:31:0.972 --> 0:31:9.427 |  Ви що, заблукали? Віта, я ж казала, не говори так! А каркан от тобі і маєш.
SPEAKER_02 | 0:31:9.629 --> 0:31:10.34 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:31:10.34 --> 0:31:14.590 |  Чи усьому винен? Як нам тепер знайти вихід? Як ми знайдемо вихід?
SPEAKER_07 | 0:31:14.405 --> 0:31:15.788 |  Слухай, Вікі!
SPEAKER_05 | 0:31:16.25 --> 0:31:16.970 |  Я вже дістала!
SPEAKER_07 | 0:31:16.970 --> 0:31:17.864 |  Може...
SPEAKER_05 | 0:31:18.151 --> 0:31:24.884 |  Не біг було воду розливати. Я ж точно пам'ятаю, який тут ставленок. У мене навіть десь тут відламала з половини крейлик.
SPEAKER_12 | 0:31:46.433 --> 0:31:54.61 |  Виходить, хтось термінірує мітки. Тільки кому це потрібно?
SPEAKER_01 | 0:31:55.259 --> 0:31:57.149 |  Може ти просто пропустив ці два місця?
SPEAKER_12 | 0:31:59.697 --> 0:32:2.482 |  Ні, я ставив мітки на кожному повороті.
SPEAKER_02 | 0:32:4.557 --> 0:32:6.329 |  Ну як ми тепер знайдемо вихід?
SPEAKER_12 | 0:32:8.253 --> 0:32:10.818 |  Так, давайте ще там подивимось.
SPEAKER_02 | 0:32:18.23 --> 0:32:19.778 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:32:19.981 --> 0:32:20.977 |  Треба подзвонити, покликати.
SPEAKER_07 | 0:32:20.977 --> 0:32:26.562 |  Катя, я тебе дзвоню, ти бігай з керівництвом!
SPEAKER_19 | 0:32:26.326 --> 0:32:28.418 |  Чого ви взагалі сюди спустились?
SPEAKER_07 | 0:32:28.520 --> 0:32:30.258 |  Я за жовту! Я за білянці!
SPEAKER_19 | 0:32:29.178 --> 0:32:31.34 |  Отже, вибіляйте її!
SPEAKER_17 | 0:32:34.105 --> 0:32:40.703 |  Ей! Ей! Хто ми?
SPEAKER_07 | 0:32:34.696 --> 0:32:35.894 |  Ей!
SPEAKER_07 | 0:32:35.978 --> 0:32:36.788 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 0:32:36.974 --> 0:32:40.467 |  Хто не який?
SPEAKER_17 | 0:33:19.195 --> 0:33:19.972 |  Дякую!
SPEAKER_18 | 0:33:19.972 --> 0:33:30.940 |  Допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомоги, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомогі, допомог
SPEAKER_17 | 0:33:28.477 --> 0:33:30.957 |  Допоможіть!
SPEAKER_17 | 0:33:30.991 --> 0:33:36.70 |  Слава Богу! Слава Богу!
SPEAKER_07 | 0:33:36.70 --> 0:33:38.197 |  ДОПОМОЖІТЬ!
SPEAKER_17 | 0:33:36.205 --> 0:33:36.712 |  Дякую!
SPEAKER_07 | 0:33:38.770 --> 0:33:40.475 |  Я не чуюся!
SPEAKER_13 | 0:34:1.113 --> 0:34:4.336 |  То не будь!
SPEAKER_14 | 0:34:4.977 --> 0:34:7.390 |  Знімає там ніколи ліс громкий.
SPEAKER_04 | 0:34:8.82 --> 0:34:15.760 |  Нам ніколи звідси не вибратися!
SPEAKER_05 | 0:34:15.760 --> 0:34:17.532 |  Я... Я думаю...
SPEAKER_04 | 0:34:15.912 --> 0:34:18.308 |  Я... Я думаю...
SPEAKER_05 | 0:34:18.258 --> 0:34:19.34 |  Ми зможем познайомитися.
SPEAKER_12 | 0:34:18.308 --> 0:34:19.523 |  Ми зможемо позвонити.
SPEAKER_04 | 0:34:20.367 --> 0:34:22.55 |  О, м'як, м'як!
SPEAKER_05 | 0:34:30.172 --> 0:34:36.44 |  Я спробую дістати нижню точку прийому хуйника.
SPEAKER_12 | 0:34:36.44 --> 0:34:36.297 |  Дякую.
SPEAKER_12 | 0:34:36.601 --> 0:34:37.208 |  таке можливо.
SPEAKER_05 | 0:34:39.149 --> 0:34:40.600 |  Щось розумієш, каже.
SPEAKER_17 | 0:34:47.941 --> 0:34:52.632 |  Тьфу!
SPEAKER_03 | 0:34:53.594 --> 0:34:54.590 |  Дякую.
SPEAKER_02 | 0:34:54.590 --> 0:34:54.978 |  Дякую за перегляд!
SPEAKER_03 | 0:34:54.978 --> 0:34:55.298 |  Так.
SPEAKER_04 | 0:35:4.664 --> 0:35:6.98 |  Що ти, малюк, є?
SPEAKER_02 | 0:35:4.799 --> 0:35:5.491 |  Дякую за перегляд!
SPEAKER_17 | 0:35:7.381 --> 0:35:8.39 |  Є, є, є!
SPEAKER_04 | 0:35:7.735 --> 0:35:10.132 |  – Є, є! – Молочина, малюк, набирай!
SPEAKER_06 | 0:35:8.39 --> 0:35:8.461 |  Їееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяяя
SPEAKER_06 | 0:35:8.478 --> 0:35:11.26 |  Молочина, малюк, набирай!
SPEAKER_04 | 0:35:11.566 --> 0:35:12.275 |  Ай!
SPEAKER_06 | 0:35:12.933 --> 0:35:14.215 |  Є одна поділка!
SPEAKER_04 | 0:35:14.536 --> 0:35:19.733 |  Набирай, Кукусь! Скоріше, набирай! Ну, давай, давай! Малюк! Ну, давай!
SPEAKER_14 | 0:35:26.112 --> 0:35:37.958 |  Дієга, Орландо, не простудіте гланди, крутіте ваші треки на нашій дискотекі. Орландо, Дієга, ви альфа і омега, ми всі в огромному місці.
SPEAKER_07 | 0:35:46.75 --> 0:35:52.555 |  Ренат, Ренат, Ренат, ти мене чуєш? Том, малюк.
SPEAKER_09 | 0:35:52.252 --> 0:35:54.918 |  Малюк, малюк, малюк...
SPEAKER_09 | 0:35:55.36 --> 0:35:55.947 |  Чувак!
SPEAKER_17 | 0:35:55.188 --> 0:35:56.453 |  Дякую!
SPEAKER_09 | 0:35:57.382 --> 0:36:12.451 |  Слухай, тебе так чути, як з-під землі, Ренат. Алло? Слухай, побудь на зв'язку, у мене хтось на другій лінії. Ренат! Ренат, ти мене чуєш? Алло? Тебе не пізнаєш.
SPEAKER_17 | 0:36:13.58 --> 0:36:14.392 |  Наші дискотечі.
SPEAKER_09 | 0:36:14.392 --> 0:36:16.28 |  Стоп-стоп, я такого не говорив.
SPEAKER_07 | 0:36:21.344 --> 0:36:27.82 |  Давай скоріше! Зараз батарея сяде! Алло? Алло?
SPEAKER_07 | 0:36:28.280 --> 0:36:32.228 |  Ренат, це Вальох, у мене проблеми!
SPEAKER_00 | 0:36:34.355 --> 0:36:34.810 |  Хайло!
SPEAKER_09 | 0:36:42.691 --> 0:36:50.842 |  Алло, проблеми? У мене проблеми. У мене всіх проблеми.
SPEAKER_07 | 0:36:56.107 --> 0:36:59.245 |  Що ти зробив, урод? Я трубу в машині залишив!
SPEAKER_12 | 0:37:1.777 --> 0:37:2.536 |  От блін
SPEAKER_05 | 0:37:3.802 --> 0:37:8.459 |  Лінія у нього, друг. У Каті, у тебе труба є!
SPEAKER_15 | 0:37:9.556 --> 0:37:13.960 |  У мене теж не працює, може, сів акумулятор?
SPEAKER_03 | 0:38:24.768 --> 0:38:28.598 |  Ну, ну, ну!
SPEAKER_04 | 0:38:28.598 --> 0:38:36.158 |  Охо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо-хо
SPEAKER_05 | 0:38:36.968 --> 0:38:37.677 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:38:37.2 --> 0:38:37.289 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:38:38.15 --> 0:38:38.825 |  Приват!
SPEAKER_04 | 0:38:39.196 --> 0:38:39.601 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:38:39.938 --> 0:38:42.385 |  Треба йти далі і знайти вихід.
SPEAKER_02 | 0:38:44.815 --> 0:38:49.726 |  Якщо ми його не знайдемо, може краще залишитись і чекати,
SPEAKER_11 | 0:38:50.215 --> 0:38:51.59 |  Спробуй, ну-ка!
SPEAKER_02 | 0:38:51.59 --> 0:38:59.125 |  Ми повинні залишитись тут. Нас будуть шукати. Нас обов'язково знайдуть.
SPEAKER_01 | 0:38:59.851 --> 0:39:7.529 |  Хто? Хто нас буде шукати? Де я? Хто крім нас і професора знайдемо?
SPEAKER_05 | 0:39:8.491 --> 0:39:11.292 |  Однозначно, вихід один. Потрібно йти далі.
SPEAKER_04 | 0:39:12.608 --> 0:39:16.186 |  Піта, ми так можемо ще місяць ходити.
SPEAKER_05 | 0:39:16.186 --> 0:39:27.37 |  Та фіг, ми тут протримаємся місяць, роз'їжджі. Їжа – це фігня, а без води лазти з клин – це подола.
SPEAKER_02 | 0:39:30.496 --> 0:39:33.162 |  А на нашій планеті води більше, ніж сущі.
SPEAKER_01 | 0:39:35.761 --> 0:39:39.473 |  Угу. Більше. Тобто треба було собою брати.
SPEAKER_02 | 0:39:40.891 --> 0:39:42.781 |  Може, заткнешся і скажеш щось розумне?
SPEAKER_05 | 0:39:50.763 --> 0:39:59.639 |  Так, давайте глянемо, скільки у нас води та їжі. А тебе це що, не стосується?
SPEAKER_12 | 0:40:0.466 --> 0:40:4.229 |  У мене нічого немає з собою. Я все залишив там.
SPEAKER_05 | 0:40:5.917 --> 0:40:8.937 |  Ну і що? Думаєш, тепер на шкафчик точити будеш?
SPEAKER_02 | 0:40:10.321 --> 0:40:12.616 |  Біта, поділимо на всіх те, що є.
SPEAKER_01 | 0:40:14.978 --> 0:40:23.129 |  Весела картинка. Думаю, місяць протримаємся, а не вистачить, то купим.
SPEAKER_11 | 0:40:24.57 --> 0:40:26.200 |  Як ти можеш в такий момент приколюватись?
SPEAKER_01 | 0:40:29.373 --> 0:40:58.972 |  Як я можу в такий момент приколюватись? Як я можу в такий момент приколюватись, Вікі? Та я сам над собою поприколювався, коли з вами поїхав на цю добану практику в полізу цю штольню. Ден дай газу, ден скинь швидкість. І кого б біса? Бістів би зараз в клубі з кентами. Не ходив би тут, як мудак якийсь. Статуєтки їм захотілося. Блін! Та професор з нею вже
SPEAKER_05 | 0:40:58.972 --> 0:41:10.430 |  Нещодавно в ломбарді розвів нас, так лохів. Та не кипішуй, Ден. Просто ситуація така. Все буде добре. Добре.
SPEAKER_01 | 0:41:14.851 --> 0:41:20.133 |  Чого тоді на тобі лиця немає? Як ви мене в житті дістали?
SPEAKER_01 | 0:41:20.268 --> 0:41:20.977 |  У мене вже від вас
SPEAKER_05 | 0:41:20.977 --> 0:41:28.570 |  Та хто тебе тримає, мажорщик? Забирай манатки та вали з віцею!
SPEAKER_05 | 0:41:30.157 --> 0:41:30.815 |  Ви шлюєте?
SPEAKER_01 | 0:41:32.367 --> 0:41:38.948 |  Сам вихід знайду, а ви йдіть, чекайте свого професора, придурки!
SPEAKER_13 | 0:41:40.585 --> 0:41:45.260 |  Дядьку, дідь!
SPEAKER_17 | 0:42:24.190 --> 0:42:28.763 |  Де? Де? Де? Де?
SPEAKER_17 | 0:42:39.968 --> 0:42:41.943 |  Ідея, бро!
SPEAKER_18 | 0:42:41.555 --> 0:42:47.967 |  А як? А як же це? Вам треба забрати його!
SPEAKER_07 | 0:42:47.967 --> 0:42:54.295 |  Ми тут залишимо! А якщо там у вигідь, повернемось і заберемо його, заберемо його!
SPEAKER_18 | 0:42:54.295 --> 0:42:58.902 |  Як ти можеш так говорити? Він був твоїм другом!
SPEAKER_18 | 0:42:59.257 --> 0:42:59.678 |  Дякуємо!
SPEAKER_17 | 0:42:59.678 --> 0:43:6.445 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_18 | 0:43:9.668 --> 0:43:17.954 |  Ти бездушний ублюдок! Нам треба забрати! Забрати його! Керівна!
SPEAKER_20 | 0:43:17.954 --> 0:43:19.34 |  ВІДЄМО!
SPEAKER_20 | 0:43:19.658 --> 0:43:19.912 |  Дякую!
SPEAKER_04 | 0:43:20.468 --> 0:43:20.857 |  Дякую!
SPEAKER_04 | 0:43:21.802 --> 0:43:41.309 |  Вікі! Вікі! Що? Що? Вікі! Вікі! Та що? Що? Що? Що? Інгалятор! Інгалятор, малюк! Слідчий інгалятор! Сумка!
SPEAKER_18 | 0:43:44.363 --> 0:43:49.342 |  Воно зустріється! Воно зустрічається! Воно зустрічається!
SPEAKER_17 | 0:43:50.793 --> 0:43:53.37 |  Спеціальність! Спеціальність!
SPEAKER_19 | 0:43:58.117 --> 0:43:59.399 |  Давай швидше!
SPEAKER_07 | 0:44:0.395 --> 0:44:6.82 |  Чого ти навраєшся, урод? Вікіна-Норфеса, Бог здаїла!
SPEAKER_17 | 0:44:8.967 --> 0:44:20.560 |  Ну, давай! Давайте! Давай!
SPEAKER_02 | 0:44:27.563 --> 0:44:33.757 |  Синяк, синяк, чому ти не казала мені про Асму?
SPEAKER_02 | 0:44:35.73 --> 0:44:36.35 |  Не хотіла виглядати.
SPEAKER_04 | 0:44:36.35 --> 0:44:44.455 |  Хворий. Розумієш? Бааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_05 | 0:46:9.961 --> 0:46:12.273 |  Опа, колодязок є.
SPEAKER_10 | 0:46:14.787 --> 0:46:17.504 |  Цікаво, там є вода?
SPEAKER_19 | 0:46:21.183 --> 0:46:21.757 |  Дякую.
SPEAKER_10 | 0:46:22.128 --> 0:46:22.482 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:46:22.482 --> 0:46:26.515 |  Воно все чорне, якась.
SPEAKER_10 | 0:46:26.515 --> 0:46:29.30 |  А може це взагалі не вода?
SPEAKER_02 | 0:46:29.30 --> 0:46:30.565 |  Що?
SPEAKER_12 | 0:46:31.55 --> 0:46:36.421 |  Ти тут забруднилася. Може, об стіну десь. Я почищу.
SPEAKER_02 | 0:46:36.556 --> 0:46:37.568 |  Це не треба.
SPEAKER_12 | 0:46:36.910 --> 0:46:37.973 |  Прямо якось.
SPEAKER_05 | 0:46:37.973 --> 0:46:40.690 |  Та нічого, я почищу.
SPEAKER_02 | 0:46:38.362 --> 0:46:38.969 |  Нічого.
SPEAKER_10 | 0:46:38.969 --> 0:46:39.526 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:46:39.526 --> 0:46:40.640 |  Чищу.
SPEAKER_10 | 0:46:40.640 --> 0:46:41.264 |  Треба.
SPEAKER_02 | 0:46:40.690 --> 0:46:41.247 |  Чи почище?
SPEAKER_05 | 0:46:41.247 --> 0:46:41.602 |  Субтитрувальниця Оля Шор
SPEAKER_06 | 0:46:41.264 --> 0:46:41.821 |  Дякую.
SPEAKER_10 | 0:46:41.703 --> 0:46:43.913 |  Та не треба, Валюк, що ти робиш?
SPEAKER_02 | 0:46:42.260 --> 0:46:42.968 |  Треба, малюк!
SPEAKER_17 | 0:46:42.968 --> 0:46:47.575 |  Що, ми оплачуємо? Біда, блин!
SPEAKER_04 | 0:46:45.449 --> 0:46:50.157 |  Ти що, жити не можеш без своїх тупих приколів?
SPEAKER_10 | 0:46:56.13 --> 0:46:57.143 |  Я так пити хочу.
SPEAKER_06 | 0:47:11.588 --> 0:47:22.270 |  Вікі, Вікі, Вікі, Вікі, давай сюди, давай, вилазь, Вікі, вилазь, Вікі, давай.
SPEAKER_17 | 0:47:21.629 --> 0:47:21.983 |  Дякую!
SPEAKER_06 | 0:47:22.827 --> 0:47:27.890 |  Давай, шути! Тримайся! Давай!
SPEAKER_02 | 0:47:33.87 --> 0:47:34.167 |  До цієї теми навчуйся.
SPEAKER_12 | 0:47:35.838 --> 0:47:38.909 |  Так, так. Мама в мене медик.
SPEAKER_02 | 0:47:39.803 --> 0:47:49.422 |  Справді? А я нічого цим не тямлю. Бездарна якась.
SPEAKER_12 | 0:47:51.464 --> 0:47:59.564 |  Ти не бездарна, а навпаки, ти… Ну як ти?
SPEAKER_20 | 0:48:28.252 --> 0:48:44.13 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_05 | 0:48:44.502 --> 0:48:45.700 |  Я сам, я сам.
SPEAKER_02 | 0:49:31.820 --> 0:49:33.355 |  Та там ще щось є.
SPEAKER_05 | 0:49:33.322 --> 0:49:33.963 |  Ні за все.
SPEAKER_12 | 0:49:43.160 --> 0:49:44.172 |  Що ти там знайшла?
SPEAKER_02 | 0:49:44.830 --> 0:49:51.7 |  Напевно, це знеболюче. Ще військове. Ми можемо його вколоти від?
SPEAKER_12 | 0:49:52.340 --> 0:49:55.428 |  Угу. Тільки треба простерилізувати шприц.
SPEAKER_02 | 0:49:55.934 --> 0:50:3.713 |  Ніяких околів. Я їх не переношу. У тебе алергія на околи? Ні. Я їх боюся до смерті.
SPEAKER_12 | 0:50:5.705 --> 0:50:10.126 |  Дійсно не проблема. Вікі, в тебе припиниться біль.
SPEAKER_17 | 0:50:17.78 --> 0:50:18.445 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:50:35.573 --> 0:50:39.472 |  Ти хворий на голову, академік. Ти хоч знаєш, що це ампулі?
SPEAKER_02 | 0:50:38.307 --> 0:50:39.235 |  Ти знаєш, що тьом.
SPEAKER_12 | 0:50:39.843 --> 0:50:41.682 |  В цій ампулі знеборюючи.
SPEAKER_02 | 0:50:44.399 --> 0:50:53.528 |  Не дивись сюди, намагайся розслабитись і не думати про це. Я поряд з тобою.
SPEAKER_12 | 0:50:55.98 --> 0:50:55.705 |  Ви чо?
SPEAKER_12 | 0:51:2.894 --> 0:51:4.58 |  А це що таке?
SPEAKER_02 | 0:51:57.738 --> 0:51:58.936 |  Чого не взялися?
SPEAKER_12 | 0:51:59.729 --> 0:52:3.475 |  Блін, я окуляри розбив.
