SPEAKER_49 | 0:0:7.338 --> 0:0:32.954 |  Ой летіли журавлі, сіли собі край ріллі. Сіли собі край ріллі, заспівали трай-ляй-ляй-лі.
SPEAKER_07 | 0:21:59.32 --> 0:22:2.52 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха
SPEAKER_06 | 0:22:0.27 --> 0:22:1.985 |  Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла-ла
SPEAKER_13 | 0:22:23.821 --> 0:22:45.67 |  Чому не вийдеш? Чому не любиш? Кого? Петра? Петра. Ореста. Ореста?
SPEAKER_19 | 0:22:47.159 --> 0:22:47.176 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:22:47.176 --> 0:22:47.193 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 0:22:47.193 --> 0:22:47.311 |  Дякую за перегляд!
SPEAKER_13 | 0:22:47.311 --> 0:22:47.817 |  Куди вона?
SPEAKER_19 | 0:22:49.943 --> 0:22:55.968 |  Богдана також усіх купував.
SPEAKER_13 | 0:22:55.968 --> 0:23:5.97 |  Кожного. Ви не ходіть сюди! Любіть інших! Дівчат багато!
SPEAKER_33 | 0:23:5.165 --> 0:23:8.540 |  Йдемо збитися. Кому сказав?
SPEAKER_08 | 0:23:8.540 --> 0:23:8.557 |  Субтитрувальниця Оля Шор
SPEAKER_55 | 0:23:19.542 --> 0:23:20.808 |  Утішник.
SPEAKER_04 | 0:23:23.2 --> 0:23:35.33 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:23:35.33 --> 0:23:35.320 |  Субтитрувальниця Оля Шор
SPEAKER_04 | 0:23:36.603 --> 0:23:36.620 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:23:36.620 --> 0:23:52.972 |  Що мені допоможе? Віддай, цимий чорт! Віддай, кажу! Фу, сказилась! Ні тобі, ні мені! А я дурна гадала, вибирала! Ні!
SPEAKER_16 | 0:23:52.972 --> 0:23:53.73 |  Дякую за перегляд!
SPEAKER_13 | 0:23:53.73 --> 0:23:53.377 |  Дякую!
SPEAKER_16 | 0:23:53.377 --> 0:24:1.207 |  Тільки любов розсудить.
SPEAKER_07 | 0:24:1.207 --> 0:24:1.223 |  Субтитрувальниця Оля Шор
SPEAKER_16 | 0:24:1.223 --> 0:24:1.392 |  Дякую!
SPEAKER_07 | 0:24:1.392 --> 0:24:1.477 |  Дякую!
SPEAKER_33 | 0:24:10.960 --> 0:24:17.474 |  Дано, я прошу тебе, вертайся, дівчинка, додому.
SPEAKER_16 | 0:24:18.250 --> 0:24:19.43 |  Дівчинка!
SPEAKER_33 | 0:24:21.777 --> 0:24:22.823 |  Бішні йде за мною.
SPEAKER_16 | 0:24:23.212 --> 0:24:28.814 |  А я все одно піду, а навіщо ти кликав мене сюди?
SPEAKER_33 | 0:24:29.472 --> 0:24:31.733 |  Не знаю. Так сталося.
SPEAKER_16 | 0:24:32.223 --> 0:24:35.58 |  Так сталося, так і буде, як сталося, так і буде.
SPEAKER_33 | 0:24:36.256 --> 0:24:38.298 |  Не йди, я сюди не гратися прийшов.
SPEAKER_16 | 0:24:38.804 --> 0:24:38.973 |  Дякую!
SPEAKER_35 | 0:24:38.973 --> 0:24:39.226 |  Дякую!
SPEAKER_33 | 0:24:39.766 --> 0:24:41.875 |  І хустинкою болю не відмиєш.
SPEAKER_35 | 0:24:42.517 --> 0:24:44.288 |  А я хочу, щоб ти переніс мене туди.
SPEAKER_33 | 0:24:45.892 --> 0:25:1.180 |  Добре. Тоді ти побачиш чому я тут. Сідай, тільки знай це не вічно, прийде вода і все знесе, все знесе.
SPEAKER_07 | 0:25:2.7 --> 0:25:5.399 |  Ха-ха-ха!
SPEAKER_33 | 0:25:7.441 --> 0:25:57.239 |  Йдемо, йдемо. От, бачиш? Оце моя дорога. Або в ліс, або в тюрму. Що я маю робити? Коханий, коханий Підожди, підожди, ти мене не розумієш Я бидло, мене можна продавати на ярмарк, бити Я не можу дати тобі те, що ти від мене хочеш Дивись, я не годен чекати, поки всіх моїх братів продадуть по одному
SPEAKER_04 | 0:25:59.956 --> 0:26:0.428 |  Іди!
SPEAKER_16 | 0:26:0.428 --> 0:26:0.462 |  Субтитрувальниця Оля Шор
SPEAKER_33 | 0:26:2.892 --> 0:26:3.820 |  Я можу мстити.
SPEAKER_16 | 0:26:5.373 --> 0:26:6.453 |  Ненавиджу!
SPEAKER_37 | 0:26:40.287 --> 0:26:53.247 |  Дьодю, дьодю, ходи до мене, мій князю, ходи, ходи, мій лебедику, сідай.
SPEAKER_20 | 0:26:53.247 --> 0:26:53.770 |  Дай!
SPEAKER_13 | 0:27:7.253 --> 0:27:8.452 |  Що ти робиш, Віде?
SPEAKER_37 | 0:27:9.633 --> 0:27:14.105 |  Печу кулачі, щоб хлопці липли до мене, як це тісто до мого тіла.
SPEAKER_13 | 0:27:16.383 --> 0:27:23.521 |  Насчутно. Я б міг вбити тебе зараз.
SPEAKER_37 | 0:27:26.120 --> 0:27:36.143 |  Ти ж, мій князь, захочеш — уб'єш, а щоб любив ти мене вічно і міцно, з'їж цього калача.
SPEAKER_13 | 0:27:43.552 --> 0:27:44.783 |  Я оженюсь на тобі.
SPEAKER_37 | 0:27:48.952 --> 0:27:53.52 |  то безперечно женися, тільки найживчик вирости.
SPEAKER_31 | 0:27:53.727 --> 0:27:54.166 |  Май.
SPEAKER_37 | 0:27:54.925 --> 0:27:56.242 |  Повтім, повтім.
SPEAKER_47 | 0:28:25.182 --> 0:28:34.58 |  Причесавси, прилизавси, в білі штани вбравси, а як прийшов до дівчини,
SPEAKER_55 | 0:28:44.285 --> 0:28:48.453 |  Якщо ще раз здано їм...
SPEAKER_47 | 0:28:49.837 --> 0:28:52.857 |  Це дідька. Я з нею нічого не мав.
SPEAKER_33 | 0:28:56.519 --> 0:29:5.530 |  Міг, але не хотів. Брешеш. Забирайте свої коси, дем звідси геть. Доста накосилися на пана. Веді того арештанта, що на ярмарку.
SPEAKER_55 | 0:29:5.952 --> 0:29:6.323 |  Леді.
SPEAKER_33 | 0:29:6.323 --> 0:29:14.35 |  Я з ним тік. Завтра-післязавтра тут будуть совіти. Все ти брешеш. Бо ж ви, ти дурню. В долині вже чекаєш.
SPEAKER_51 | 0:29:14.35 --> 0:29:14.272 |  Чекай.
SPEAKER_33 | 0:29:14.272 --> 0:29:14.423 |  Дякую.
SPEAKER_51 | 0:29:14.423 --> 0:29:14.474 |  Дякую за перегляд!
SPEAKER_33 | 0:29:14.474 --> 0:29:14.508 |  Субтитрувальниця Оля Шор
SPEAKER_51 | 0:29:14.508 --> 0:29:19.655 |  Візьміть, бо він дуже слабий, помирає
SPEAKER_15 | 0:29:25.409 --> 0:29:35.618 |  Кажуть, на тому босі Черемоша совіти прийшли, і у них від усіх хвороб пігулі є. Іди.
SPEAKER_07 | 0:29:38.605 --> 0:29:38.943 |  Хм.
SPEAKER_30 | 0:29:46.790 --> 0:29:48.173 |  Знаю без тебе.
SPEAKER_14 | 0:29:48.275 --> 0:29:58.248 |  Ей, Мико, не вмирай, почекай трошки, почекай, батько повернеться з пігульками, Мико, синку.
SPEAKER_30 | 0:31:37.574 --> 0:33:34.822 |  Готово! Постійте! Сьогодні вам вже дякували хлібом сіллю. Прийміть і від мене перед тим, як віддати команду. В моїй хаті вчора не знайшлося муки, щоб сп'якти цей хліб. Я зібрав її по самих бідних хатах, де пучку дежменю і солі я не поклав зверху. Коли Катрине моя стара мусіли ті, що сльози її зросили цю муку, Одна сльоза радості, одна горя, горя матері, щоб поховала свою дитину. Я думав над робом, може воно і краще, щоб вам Бог забрав до себе дитинча від цих мук, якби він жив. А як ми всі жили, а як я сам жив. Перше десять років без штанів це пусте, п'ять страшних років війни можна вишпорити. Маємо 15 вже, 27, 30, 33, 3 роки голоду, рік холери, рік римунського криміналу За те, що бігав по всього стовпа за хлібом з України на Україну, маємо 20 років А за останні 30 років жив аж 60 днів День, невелик день, коли зійдешся з людьми Поївши хліба святого, да випивши чарку І день на різдво, коли на душі весело О, ти маєш тобі, дурна, голову за все твоє життя Шістьдесят днів і виходить Візьміть, будь ласка, цей хліб і вирвіть той проклятий стовп, що стеречить в нашому тілі, як гнила колючка.
SPEAKER_22 | 0:33:44.305 --> 0:33:44.947 |  Єсть!
SPEAKER_44 | 0:34:9.112 --> 0:34:13.617 |  Суми, файна дівка, не? Із-за неї одно і стоило вибрати Буковину.
SPEAKER_42 | 0:34:15.592 --> 0:34:18.241 |  то може женися.
SPEAKER_10 | 0:34:20.958 --> 0:34:26.493 |  Женюсь. А що? Нічого, я згоден. Прокатишся зі мною на тракторі?
SPEAKER_19 | 0:34:28.754 --> 0:34:29.733 |  Прокатишся!
SPEAKER_04 | 0:34:36.432 --> 0:34:42.119 |  Субтитрувальниця Оля Шор
SPEAKER_42 | 0:34:43.739 --> 0:34:51.164 |  Ей, дзвонарі! Що це ви поснули? Може, і Марша заграєте? Марша?
SPEAKER_42 | 0:34:51.181 --> 0:34:51.367 |  Дякую!
SPEAKER_47 | 0:34:51.367 --> 0:35:5.963 |  І Причесався, прилизався В білі штани вбрався Як у виді
SPEAKER_32 | 0:35:5.963 --> 0:35:9.710 |  Дівчиноньку на дорозі
SPEAKER_33 | 0:35:12.157 --> 0:35:49.653 |  Сів! ЧОРНІ ХЛОПІТІ
SPEAKER_26 | 0:35:53.78 --> 0:35:59.457 |  Слава Україні! Уже навітаєтесь? По скалям ліс? Плавляєте!
SPEAKER_33 | 0:35:59.457 --> 0:35:59.474 |  Субтитрувальниця Оля Шор
SPEAKER_26 | 0:35:59.845 --> 0:35:59.862 |  Субтитрувальниця Оля Шор
SPEAKER_33 | 0:35:59.862 --> 0:35:59.930 |  Субтитрувальниця Оля Шор
SPEAKER_26 | 0:35:59.930 --> 0:35:59.963 |  Субтитрувальниця Оля Шор
SPEAKER_33 | 0:35:59.963 --> 0:36:5.802 |  Реліз для школи. Разом з солдатами в нашому селі будуємо.
SPEAKER_26 | 0:36:6.545 --> 0:36:16.450 |  Женіть-женіть, совітом на гроби знадобиться, за одною зброєю в долину звезете. Я ваш конвоїр, скажу де зупинитись.
SPEAKER_07 | 0:36:18.796 --> 0:36:19.994 |  Ха-ха-ха!
SPEAKER_26 | 0:36:24.382 --> 0:37:3.582 |  Ха-ха-ха! Ну і перепутжені! Ха-ха-ха! І ти, Орест! Тепер зрозуміло, чому ніхто з вас не рішився попівській доці... Що? Жартую, жартую. Просто ви любите совітів. І подарували попівному скалеві. Кажуть, тепер тракторист. Роман, і наші це все? На кого ми цю смерть гонимо? Турню, поки ви совітам п'яти лишите, Європа воює. День-два і Гітлер допоможе нам звільнити свій край від всякого іга. Тут воля наша і чиясь смерть.
SPEAKER_33 | 0:37:4.55 --> 0:37:4.72 |  Субтитрувальниця Оля Шор
SPEAKER_26 | 0:37:4.72 --> 0:37:4.173 |  Дякую!
SPEAKER_33 | 0:37:4.173 --> 0:37:4.713 |  Я маю тітури.
SPEAKER_26 | 0:37:4.713 --> 0:37:4.814 |  Дякую!
SPEAKER_33 | 0:37:4.814 --> 0:37:4.882 |  Субтитрувальниця Оля Шор
SPEAKER_26 | 0:37:4.882 --> 0:37:42.715 |  Якою ти волю хочеш, не вже німецькою? Тут ти, я гусол! І воля моя, як ці гори висока, Як цей черемош прутка і горда, Я не боя гус, я зброєю відстою, Щоб мою наречену не мацали, Не ґвалтували жодні посіпаки. А для початку ми на цьому весіллі погуляємо. Об'їдків вистачить на всіх.
SPEAKER_33 | 0:37:43.222 --> 0:37:44.200 |  На якому весіллі?
SPEAKER_26 | 0:37:44.960 --> 0:37:54.376 |  Не знаєте? О, ніяк. Докви в горах ліс валили, тракторист по поводочку.
SPEAKER_27 | 0:37:56.755 --> 0:38:17.444 |  Куди? Куди ви гребете? Віддягай від мене усю бічку! Ви гребете! Ви дурі! Усю бічку! Хлопці, на скелю гребіть! На скелю, кажу вам! Тримай! Ви гребіть на скелю! Ви гребіть на скелю, хлопці, тільки на скелю! Будеш знати, як тебе...
SPEAKER_07 | 0:38:12.466 --> 0:38:14.828 |  Не грибіть на скелю! Ви, вроді, пропадеш!
SPEAKER_27 | 0:38:19.30 --> 0:38:28.58 |  Кидайте кермо уже! Уже добре кидайте кермо! Кидайте! Кидайте, хлопці!
SPEAKER_33 | 0:38:28.58 --> 0:38:32.783 |  А ти бачиш, яка велика вода прийшла? У нас нести тебе і твої баскудні слова.
SPEAKER_41 | 0:38:35.11 --> 0:38:37.475 |  Віддаляйте ці дівчатки!
SPEAKER_22 | 0:38:37.475 --> 0:38:38.268 |  Отак бай!
SPEAKER_41 | 0:38:39.449 --> 0:38:39.500 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:38:39.500 --> 0:38:41.2 |  Курвий десант, Петро!
SPEAKER_11 | 0:38:41.2 --> 0:38:41.35 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:38:41.390 --> 0:38:41.457 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:38:41.457 --> 0:38:43.27 |  Тобі в цих хорах більше не жити!
SPEAKER_22 | 0:38:43.27 --> 0:38:43.43 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:38:43.718 --> 0:38:44.309 |  Хе-хе!
SPEAKER_41 | 0:38:44.309 --> 0:38:44.444 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:38:44.444 --> 0:38:45.355 |  Свежість мені...
SPEAKER_41 | 0:38:45.355 --> 0:38:45.760 |  Дякую.
SPEAKER_11 | 0:38:45.760 --> 0:38:45.878 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 0:39:45.498 --> 0:39:46.55 |  Музика
SPEAKER_07 | 0:40:27.972 --> 0:40:28.73 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:40:30.622 --> 0:40:44.510 |  Ви роздали людям вашу спільну честь, як той калаш, який самі розломили. У вас є особистий викуп, дар і подяка. Кому його призначаєте, пане молодий? Пан молодой, свій калаш, виноват. Викуп?
SPEAKER_10 | 0:40:44.510 --> 0:40:55.613 |  Поклон і вдячність приносять людині, яка для мене зараз... Батько і мати, і весь рот мій, моєму комбату.
SPEAKER_22 | 0:40:55.613 --> 0:41:44.382 |  Пані молода, кому ваш викуп, уклін, дар і подяка Прощальний танець, пані молодої! Пані молодої!
SPEAKER_08 | 0:44:29.943 --> 0:44:30.871 |  Дякую!
SPEAKER_40 | 0:44:42.464 --> 0:44:44.371 |  Синку, куди ти?
SPEAKER_33 | 0:44:44.371 --> 0:44:45.839 |  Мамо, я з ним, я з совітом.
SPEAKER_40 | 0:44:46.92 --> 0:44:47.206 |  Йоніґі!
SPEAKER_06 | 0:45:3.440 --> 0:45:10.38 |  Тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо, тихо,
SPEAKER_35 | 0:45:22.610 --> 0:45:41.273 |  А я все чекала, хто з вас насмілиться, і до чого мені це весілля. Це я так, щоб добикати Іваму, повісилась би вранці. Я й на весілля все чекала, вакуни я сама осідлала. Тепер ми самі, ми вільні від усіх, від усьох.
SPEAKER_26 | 0:45:46.150 --> 0:46:8.273 |  О, оце так! Ми на весілля зібралися, а наречена сама до нас прийшла, та ще й не одна. Моя Куля давно вже його шукає. Не впізнаєш? Вибирай, тобі Куля, а нам наречена, або підеш з нами і відправиш на той світ, на кого ми вкажемо. Ну?
SPEAKER_32 | 0:46:10.737 --> 0:46:15.665 |  Не нукай, не запряг. Це я вмію.
SPEAKER_25 | 0:46:15.665 --> 0:46:16.19 |  запрягти.
SPEAKER_32 | 0:46:16.19 --> 0:46:16.36 |  Субтитрувальниця Оля Шор
SPEAKER_25 | 0:46:16.36 --> 0:46:22.263 |  Петро дзвонар, совіт. Хайде, Фок. Ситриць. Ситриць. Ситриць.
SPEAKER_31 | 0:46:29.30 --> 0:46:30.177 |  Парний газопристряшений.
SPEAKER_29 | 0:46:37.535 --> 0:46:39.661 |  Шлях баластрафів!
SPEAKER_40 | 0:46:47.795 --> 0:46:52.840 |  Швидше, боже, швидше вийди.
SPEAKER_00 | 0:46:52.13 --> 0:46:52.64 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 0:46:52.64 --> 0:46:52.300 |  Субтитрувальниця Оля Шор
SPEAKER_40 | 0:46:53.819 --> 0:46:54.815 |  Люди добрі!
SPEAKER_07 | 0:46:54.55 --> 0:46:54.224 |  Субтитрувальниця Оля Шор
SPEAKER_40 | 0:46:55.692 --> 0:46:57.768 |  Прятуйте Євгенію!
SPEAKER_41 | 0:46:57.937 --> 0:46:58.358 |  Субтитрувальниця Оля Шор
SPEAKER_40 | 0:46:58.443 --> 0:47:0.417 |  Господи!
SPEAKER_41 | 0:47:0.417 --> 0:47:1.683 |  Ой, боже мій!
SPEAKER_40 | 0:47:0.552 --> 0:47:5.227 |  Ой, Боже мій! Ой, Люденьки!
SPEAKER_41 | 0:47:2.442 --> 0:47:5.463 |  О! Люденьки!
SPEAKER_40 | 0:47:5.969 --> 0:47:6.813 |  Ох!
SPEAKER_41 | 0:47:7.66 --> 0:47:7.538 |  Дякую.
SPEAKER_40 | 0:47:8.568 --> 0:47:9.361 |  Аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа
SPEAKER_41 | 0:47:9.766 --> 0:47:9.968 |  Дякую!
SPEAKER_40 | 0:47:10.171 --> 0:47:11.200 |  Дивіться!
SPEAKER_41 | 0:47:11.774 --> 0:47:16.583 |  Боже мій! Боже мій!
SPEAKER_49 | 0:47:16.347 --> 0:47:16.820 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 0:47:27.974 --> 0:47:36.833 |  Пам'ятаєш, як твій виродок збирався грати на моїх покоронах? Ану заграй щонайбудь веселе. Грай! Бум!
SPEAKER_05 | 0:47:55.210 --> 0:47:58.28 |  Субтитрувальниця Оля Шор
SPEAKER_28 | 0:48:44.502 --> 0:48:46.72 |  Іди на сюди, Георгію.
SPEAKER_07 | 0:48:48.637 --> 0:48:49.8 |  Є.
SPEAKER_28 | 0:48:50.813 --> 0:48:50.830 |  Субтитрувальниця Оля Шор
SPEAKER_30 | 0:48:50.830 --> 0:48:57.783 |  Ні до чого ти не годен. Будь ти тобі дзвонарем.
SPEAKER_28 | 0:48:57.783 --> 0:49:18.488 |  Іди, звідси, хіуар гіу.
SPEAKER_31 | 0:49:24.277 --> 0:49:28.681 |  Що це ти свати і носа не показуєш вже три роки?
SPEAKER_41 | 0:49:33.288 --> 0:49:36.157 |  Прости, паноче, за все!
SPEAKER_31 | 0:49:36.511 --> 0:49:40.308 |  Дзвони! Людям дзвониш.
SPEAKER_30 | 0:49:40.308 --> 0:49:48.37 |  А хіба не чути дзвону? Голова моя гудена!
SPEAKER_41 | 0:49:48.37 --> 0:49:50.433 |  на всі гори!
SPEAKER_31 | 0:49:51.631 --> 0:49:56.153 |  Наше діло дзвонити, а буде світанок чи ні, це вже його діло.
SPEAKER_30 | 0:49:57.402 --> 0:50:6.447 |  Хе, світанок – не наше діло, Діти наші – не наше діло,
SPEAKER_29 | 0:50:6.447 --> 0:50:6.464 |  Субтитрувальниця Оля Шор
SPEAKER_30 | 0:50:7.426 --> 0:50:7.966 |  Іди.
SPEAKER_29 | 0:50:7.966 --> 0:50:10.8 |  І звідси Георгію!
SPEAKER_46 | 0:50:14.92 --> 0:50:17.821 |  Спаси мені, сина, поночі!
SPEAKER_30 | 0:50:17.821 --> 0:50:33.548 |  Перепиши в книзі наручній Богдан. Зменшуй йому лікоть на три роки. А то мобілізують румуни, заберуть його на війну.
SPEAKER_31 | 0:50:33.548 --> 0:50:49.462 |  До ареста. Там люди потрібні. Влізь. А Георгія знов прийшли до мене. Докодний треба.
SPEAKER_52 | 0:50:50.660 --> 0:51:5.543 |  Ой, ковала й зазулечка, далеко їй чути. Кажуть люди, що я курва, це не може бути. Кажуть люди, що я курва, то я все не каю.
SPEAKER_00 | 0:51:2.776 --> 0:51:4.25 |  Дякуємо!
SPEAKER_07 | 0:51:4.25 --> 0:51:4.42 |  Дякую за перегляд!
SPEAKER_00 | 0:51:4.42 --> 0:51:4.700 |  Дякую!
SPEAKER_52 | 0:51:6.134 --> 0:51:10.775 |  Молодуся, на курварю старуся, покаю.
SPEAKER_00 | 0:51:6.202 --> 0:51:6.218 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 0:51:6.218 --> 0:51:6.775 |  Молодець!
SPEAKER_00 | 0:51:6.775 --> 0:51:6.809 |  Субтитрувальниця Оля Шор
SPEAKER_52 | 0:51:11.332 --> 0:51:22.418 |  А ну дивіться, яка вона розмалювалася, як та песенка на великдень. Заглядається, то скоро якийсь не вишкірить зуби. Це її робота, вона в день роботи не має.
SPEAKER_00 | 0:51:16.310 --> 0:51:20.798 |  Заглядається за скалик і снігаєш через зуби. Це її робота.
SPEAKER_52 | 0:51:23.144 --> 0:51:26.654 |  Тільки нечу. Та добре, що на лісі шукає, а то біда.
SPEAKER_36 | 0:51:27.127 --> 0:51:32.138 |  Курво, куде праща? Батюшу за тобою і водачу. Вода все знесе.
SPEAKER_52 | 0:51:31.615 --> 0:51:40.542 |  Вона наїлася, не голодна, а там і чоловіки з війни повернуться.
SPEAKER_36 | 0:51:34.906 --> 0:51:35.969 |  Дякую за перегляд!
SPEAKER_40 | 0:51:35.969 --> 0:51:41.268 |  Вона і потопленняк, вона наїва, сильно голодна, а там і черв'яки з війни повернуться.
SPEAKER_52 | 0:51:41.268 --> 0:51:41.285 |  Субтитрувальниця Оля Шор
SPEAKER_40 | 0:51:41.285 --> 0:51:41.639 |  Ха-ха-ха!
SPEAKER_52 | 0:51:41.639 --> 0:51:41.977 |  Субтитрувальниця Оля Шор
SPEAKER_40 | 0:51:41.977 --> 0:51:42.27 |  Субтитрувальниця Оля Шор
SPEAKER_52 | 0:51:42.27 --> 0:51:42.955 |  Він не спеводжує.
SPEAKER_40 | 0:51:42.955 --> 0:51:43.293 |  Дякую.
SPEAKER_52 | 0:51:45.487 --> 0:51:54.667 |  Заткнись, шмато, а то покорі чуть рівняє тебе з собою. І будемо обі однаки. Зав'яжу мої сорочки на голови.
SPEAKER_40 | 0:51:51.123 --> 0:51:51.292 |  Субтитрувальниця Оля Шор
SPEAKER_18 | 0:51:51.292 --> 0:51:52.17 |  Ніхуя ж, ну ви існуєте!
SPEAKER_40 | 0:51:52.17 --> 0:51:52.827 |  Сурочку на голову!
SPEAKER_18 | 0:51:53.570 --> 0:51:58.598 |  Ти що, що мою сирочку нагалив? Я не усів, надаса мені кімнати ці наїв!
SPEAKER_52 | 0:51:56.337 --> 0:51:59.611 |  Ану шо, цей молодій!
SPEAKER_40 | 0:51:59.611 --> 0:52:1.822 |  Морозом! Морозом!
SPEAKER_52 | 0:51:59.662 --> 0:52:2.41 |  Морозом! Морозом!
SPEAKER_18 | 0:52:2.41 --> 0:52:2.210 |  Дякую!
SPEAKER_52 | 0:52:2.210 --> 0:52:2.243 |  Субтитрувальниця Оля Шор
SPEAKER_07 | 0:52:3.391 --> 0:52:3.458 |  Дякую!
SPEAKER_52 | 0:52:3.458 --> 0:52:5.973 |  Позеліть! Позеліть!
SPEAKER_07 | 0:52:3.813 --> 0:52:7.424 |  Я вам позиваю, позиваю, позиваю!
SPEAKER_14 | 0:52:5.973 --> 0:52:7.492 |  Дякую!
SPEAKER_07 | 0:52:26.712 --> 0:52:27.16 |  Субтитрувальниця Оля Шор
SPEAKER_43 | 0:52:38.238 --> 0:52:41.630 |  Не всі, виходить, мужики на війні.
SPEAKER_07 | 0:52:57.408 --> 0:53:1.846 |  Дякую.
SPEAKER_48 | 0:53:11.971 --> 0:53:32.575 |  Вінчається раба Божа Вівдя на життя з рабом Божим Георгієм. Чи згодні ви взяти за жінку рабу Божу Вівдю? Згоден. Чи згодні ви мати за чоловіка раба Божого Георгія?
SPEAKER_07 | 0:53:42.616 --> 0:53:43.122 |  Відводно.
SPEAKER_28 | 0:55:10.670 --> 0:55:11.24 |  Дізель.
SPEAKER_32 | 0:55:11.24 --> 0:55:12.931 | ...під їм чайна кугель.
