SPEAKER_16 | 0:1:31.578 --> 0:1:33.29 |  Дякую!
SPEAKER_16 | 1:24:44.249 --> 1:24:44.266 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 1:25:36.950 --> 1:25:44.138 |  Тримай ваш об'ївисний. Проходь на КПП. Воду з машини злили. Зараз тобі неї піджинемо. Добре, дякую. Хай ще стигне.
SPEAKER_13 | 1:27:16.40 --> 1:27:16.681 |  Доброго дня!
SPEAKER_01 | 1:27:16.681 --> 1:27:19.178 |  Доброго дня! Доброго дня! Доброго дня!
SPEAKER_13 | 1:27:19.178 --> 1:27:20.900 |  Звісно, якось таке почувається.
SPEAKER_01 | 1:27:21.625 --> 1:27:22.486 |  Краще, дякую.
SPEAKER_13 | 1:27:22.958 --> 1:27:23.347 |  Субтитрувальниця Оля Шор
SPEAKER_01 | 1:27:24.275 --> 1:27:26.198 |  Відпочивай в машині, розмовляй.
SPEAKER_12 | 1:27:41.234 --> 1:27:49.823 |  Я вам дуже вдячна за мій порятунок. Я розумію, аби ви не зупинились. Все могло б скінчитися дуже багато для мене.
SPEAKER_13 | 1:27:51.140 --> 1:27:54.734 |  Наступного разу обережніше. Точі багато мін залишилось.
SPEAKER_12 | 1:27:56.455 --> 1:28:12.706 |  Моя організація займається екологічним моніторингом в таких небезпечних зонах. І я хочу сказати, що через війну ви отримали зовсім непридатну для життя територію.
SPEAKER_13 | 1:28:16.672 --> 1:28:17.853 |  З часом все зміниться.
SPEAKER_12 | 1:28:19.743 --> 1:28:28.788 |  Сотні затоплених шахт, зруйновані заводи, вони відруїли тут всю воду. Це неможливо змінити.
SPEAKER_13 | 1:28:33.192 --> 1:28:35.352 |  Воду можна підвозити, дистилювати.
SPEAKER_12 | 1:28:37.192 --> 1:28:47.266 |  Можна, але це економічно невигідно. Мені здається, що єдиний розумний вихід зараз – це вихід фізицій.
SPEAKER_13 | 1:28:53.628 --> 1:28:55.535 |  Стільки років війни, щоб поїхати.
SPEAKER_12 | 1:29:0.952 --> 1:29:51.678 |  Всього за 10 років ви очистили території, які були найбільші отруєнні радянськими міфами і омували ваш розвиток. Але зараз вам треба очистити воду та землю. Для цього потрібно десятки або сотні років. Мій термін перебування тут скоро скінчиться, але моя організація працює в різних країнах, а є постійні вакансії. Для вас це можливість виїхати за кордон на деякий час, аби починати нове життя в Європі.
SPEAKER_13 | 1:29:56.403 --> 1:29:57.871 |  Я не можу дати зараз відповідь.
SPEAKER_12 | 1:29:59.930 --> 1:30:15.910 |  Я розумію. Ви маєте контакти? У вас є час. Коли приймете рішення, зателефонуйте мене. Я вам дуже дякую.
SPEAKER_13 | 1:30:18.661 --> 1:30:19.555 |  Добре, дякую.
SPEAKER_10 | 1:32:35.905 --> 1:32:37.137 |  Що, тут щось серйозне?
SPEAKER_05 | 1:32:38.622 --> 1:32:39.280 |  Серйозно.
SPEAKER_10 | 1:32:40.242 --> 1:32:41.18 |  Самі доїдемо?
SPEAKER_09 | 1:32:41.18 --> 1:32:41.35 |  Субтитрувальниця Оля Шор
SPEAKER_05 | 1:32:41.339 --> 1:33:13.233 |  Незможемо. Алло, привіт. Нас мотор заклинило. Треба попсир. Ми біля ферми. Десь два кілометра від моста. Добре, чекаємо.
SPEAKER_10 | 1:40:2.823 --> 1:40:3.835 |  Давно ти тут живеш?
SPEAKER_13 | 1:40:6.299 --> 1:40:20.575 |  Ну так, давно. Мені подобається тут. Тихо, спокійно. Тобі ніхто не заважає.
SPEAKER_10 | 1:40:36.438 --> 1:40:37.822 |  Так же було назавжди.
SPEAKER_13 | 1:40:43.863 --> 1:40:57.59 |  Не завжди. Живі, як всі нормальні люди, потім все раптово закінчилося.
SPEAKER_10 | 1:41:4.906 --> 1:41:6.290 |  Це тому ти пішов на війну?
SPEAKER_13 | 1:41:8.618 --> 1:41:41.761 |  Можливо, спочатку хотілося просто померти, потім побачив одну смерть, другу, третю, сам ледве не загинув, тоді все змінилось. Зрозумів, що потрібно жити далі.
SPEAKER_10 | 1:42:34.310 --> 1:42:35.845 |  Так а чого не поїдеш звідси?
SPEAKER_13 | 1:42:38.258 --> 1:43:26.15 |  А які сенси від цеїхти? Серед нормальних людей буде важче вижити. Себе ж не обдуриш. Або сприймаєш таким, яким ти є, або просто зникаєш. Мене таке життя влаштовує. І взагалі тут заповідник для таких, як ми.
SPEAKER_10 | 1:43:29.153 --> 1:43:29.963 |  Може і так.
