SPEAKER_09 | 0:0:36.329 --> 0:0:38.67 |  Можемо починати, пані доктор.
SPEAKER_15 | 0:40:13.223 --> 0:40:14.742 |  Я хочу знати, де ти швендієш.
SPEAKER_14 | 0:40:14.742 --> 0:40:14.759 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:40:15.434 --> 0:40:17.375 |  Ти під моєю опікою, розумієш?
SPEAKER_11 | 0:40:29.963 --> 0:40:30.908 |  Тільки...
SPEAKER_34 | 0:40:30.908 --> 0:40:43.818 |  Почала замітати, а він як чекне. Диво Господнє! Я наголошив, присвятатієво. Що ж то сі робіт?
SPEAKER_13 | 0:41:33.970 --> 0:41:36.316 |  Дещо добре.
SPEAKER_14 | 0:41:38.155 --> 0:41:47.555 |  Не бійся. Боже, яка ж ти худа. Дай сюди. Отак.
SPEAKER_03 | 0:41:47.555 --> 0:41:47.572 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:41:48.736 --> 0:41:48.753 |  Субтитрувальниця Оля Шор
SPEAKER_03 | 0:41:48.753 --> 0:41:58.439 |  Ніхто тебе не образить. Боже, який же ти заголова джиней. Петре, ми негайно його забираємо звідси.
SPEAKER_21 | 0:42:9.796 --> 0:42:11.45 |  Його ж, напевно, хтось шукає.
SPEAKER_19 | 0:42:11.264 --> 0:42:11.973 |  Ти за все поглянь.
SPEAKER_14 | 0:42:11.973 --> 0:42:19.853 |  Вони його мордували. Адельцю, розбивляй душу. Попрошуй мені не вказувати.
SPEAKER_15 | 0:42:19.853 --> 0:42:19.870 |  Субтитрувальниця Оля Шор
SPEAKER_21 | 0:42:20.157 --> 0:42:23.482 |  А як же його батьки? Я думаю, нам треба зголоситися до поліції.
SPEAKER_15 | 0:42:23.752 --> 0:42:31.632 |  Не треба нікуди зголошуватись. А коли треба, самі прийдуть. Ну?
SPEAKER_18 | 0:42:31.632 --> 0:42:35.260 |  Іди до мамці. Не на янгол, а по тєтку. Іди.
SPEAKER_14 | 0:42:39.665 --> 0:42:47.107 |  Може, я? Заради Бога. Ти його зараз звариш. Стефтю, у тебе справ нема? Йди, борися.
SPEAKER_21 | 0:42:48.52 --> 0:42:49.621 |  Слухай, Дельце, може справді хай Стефа?
SPEAKER_11 | 0:43:6.547 --> 0:43:11.609 |  Йди, кажу! Йди, кер! Що тобі не так?
SPEAKER_19 | 0:43:11.609 --> 0:43:11.643 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 0:43:11.643 --> 0:43:12.217 |  Залиши його.
SPEAKER_19 | 0:43:12.217 --> 0:43:21.430 |  Ну то добре. Порайся. Тільки вважай, воно якесь ненормальне.
SPEAKER_14 | 0:43:27.640 --> 0:43:52.345 |  Тихо, тихо. Ну, все. Вона вже пішла. Пішла ця недобра тьотка. Ходи сюди. Тут і води боїться. Бачиш? Тут немає води.
SPEAKER_03 | 0:43:52.632 --> 0:43:53.3 |  Уже.
SPEAKER_14 | 0:43:56.463 --> 0:44:33.487 |  Вставай. А якщо так? І нічого не має страшного. Давай ручки. Ну от, розумеха. Сама вона дика. Правда ж?
SPEAKER_03 | 0:44:33.487 --> 0:44:35.107 |  Тож, що з ним таке, пане докторе?
SPEAKER_24 | 0:44:35.900 --> 0:45:24.567 |  Він не глухий і не німий, просто дуже виснажений голодом. А що в нього з кістками? А це, власне, ми хотіли би дізнатися, докторе. Такого я ще не бачив. Треба їхати до Кракова, або навіть і до Відня. Кучіс-хіпереластіка. Сіндром Еллерса-Данласа. Що? Він небезпечний? Я б сказав, що він просто інакший. Дуже особлива дитина.
SPEAKER_17 | 0:45:45.239 --> 0:45:50.403 |  Ну, ти, черки, поглянь, що він зробив. Все.
SPEAKER_21 | 0:45:50.977 --> 0:46:12.610 |  Так, це ж наш будинок, церква, синагога, костел, ратуша, крамниці, всі крамниці. А це гетьманські вали та мого справжній талант. А це що?
SPEAKER_14 | 0:46:15.547 --> 0:46:18.348 |  Жебрак. Він сидить на площі ще ранку.
SPEAKER_21 | 0:46:18.415 --> 0:46:18.432 |  Субтитрувальниця Оля Шор
SPEAKER_24 | 0:46:18.432 --> 0:46:19.394 |  Ні, пам'яті.
SPEAKER_14 | 0:46:21.757 --> 0:46:22.465 |  Залізько!
SPEAKER_19 | 0:46:43.930 --> 0:46:45.27 |  Кудись зник мій перший.
SPEAKER_14 | 0:46:45.27 --> 0:46:45.382 |  Ні, просто ні.
SPEAKER_19 | 0:46:46.23 --> 0:46:46.40 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:46:46.40 --> 0:46:46.445 |  Який?
SPEAKER_19 | 0:46:46.799 --> 0:46:46.816 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:46:46.816 --> 0:46:54.967 |  Зі смарагдом. Знайдеш. Як згадаєш, де поклала. Ти ще не виприла моєї смарагди.
SPEAKER_10 | 0:46:54.967 --> 0:46:55.726 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 0:47:11.875 --> 0:47:15.284 |  Добре. А от я взяла на свою голову.
SPEAKER_15 | 0:47:15.284 --> 0:47:23.452 |  Добавлю, як прорібало. Все це марно. Він дикий. Значить, зрякаєтесь. Кусається, дрякається. Не говорите, тільки пищите гарче.
SPEAKER_02 | 0:47:23.452 --> 0:47:23.468 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:47:23.468 --> 0:47:23.502 |  Субтитрувальниця Оля Шор
SPEAKER_02 | 0:47:23.772 --> 0:47:29.527 |  Ой, а ви святая жінка, пані Адель. Писто покажу вам, святая жінка.
SPEAKER_14 | 0:47:33.425 --> 0:47:47.600 |  Вона неможлива. Доктор Анґри знав. Добре знав. Без мене вона пропаде. Вічно кола, вічно безпорадна. Навіть яйця нам якось варити не здатне. Тому й наказав перед смертю не лишати її саме.
SPEAKER_20 | 0:47:48.511 --> 0:47:50.772 |  Дивимося. Ти впевнений, що він саме це сказав?
SPEAKER_14 | 0:47:51.447 --> 0:47:52.257 |  А що тут до мене?
SPEAKER_20 | 0:47:54.890 --> 0:48:2.28 |  Глянь, коли дерева сплітаються стовбурами, вони не дають одне одному рости.
SPEAKER_14 | 0:48:3.968 --> 0:48:6.635 |  Ви вважаєте, що я маю піти?
SPEAKER_20 | 0:48:7.934 --> 0:48:9.14 |  А ти як думаєш, Стафан?
SPEAKER_14 | 0:48:12.119 --> 0:48:14.617 |  Тільки скажіть, я все зроблю.
SPEAKER_20 | 0:48:17.975 --> 0:48:21.451 |  Вийти в боєм, а то твою волю і твою терпіння.
SPEAKER_14 | 0:48:26.328 --> 0:48:27.762 |  А може хоч це про фітролів?
SPEAKER_20 | 0:48:36.301 --> 0:48:40.891 |  Отак бувся життєвій сідію з тобою тут, піцюмнерами.
SPEAKER_36 | 0:49:44.712 --> 0:49:59.309 |  Вова! Ти чий такий? Знаєте, я знаю. Ходімо. Вітаємо!
SPEAKER_21 | 0:49:59.309 --> 0:49:59.393 |  Дякую.
SPEAKER_36 | 0:50:0.52 --> 0:50:0.85 |  Субтитрувальниця Оля Шор
SPEAKER_21 | 0:50:0.85 --> 0:50:0.507 |  Дякуємо за перегляд!
SPEAKER_36 | 0:50:0.507 --> 0:50:0.524 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:50:0.828 --> 0:50:2.583 |  Дякую.
SPEAKER_21 | 0:50:3.494 --> 0:50:14.429 |  Ми щойно врятували цілий Станіслав Івлін з скандалу. Спритний, мама. Як його звати? Фелікс.
SPEAKER_36 | 0:50:14.429 --> 0:50:14.446 |  Субтитрувальниця Оля Шор
SPEAKER_21 | 0:50:15.357 --> 0:50:15.374 |  Субтитрувальниця Оля Шор
SPEAKER_36 | 0:50:15.374 --> 0:50:22.394 |  Його звати Фелікс. Фелікс – Австрія? Нехай вийде інший, а ти, щаслива Австрія, укладай шлюби.
SPEAKER_22 | 0:50:41.362 --> 0:50:42.408 |  І так, господарів, доволі.
SPEAKER_15 | 0:50:43.218 --> 0:50:46.171 |  Боже мій, яка честь, шевелія, яка несподіванка.
SPEAKER_21 | 0:50:46.778 --> 0:50:51.166 |  Вітаю вас, пане Торно. Я господар цього дому Петро Сколик.
SPEAKER_22 | 0:50:51.166 --> 0:50:51.183 |  Субтитрувальниця Оля Шор
SPEAKER_21 | 0:50:52.600 --> 0:50:53.39 |  Я качу.
SPEAKER_22 | 0:50:53.39 --> 0:50:53.512 |  Шесть.
SPEAKER_21 | 0:50:54.541 --> 0:50:54.558 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:50:54.558 --> 0:51:3.772 |  Відповів би поговорити з вами про скульптуру, мистецтво, але я маю найгарнішу справу. Ну, то, прошу, заходьте.
SPEAKER_13 | 0:51:4.885 --> 0:51:5.611 |  Фелікса!
SPEAKER_04 | 0:51:27.802 --> 0:51:32.881 |  А це кабінет моєї служниці, вона у нас справжня чарівниця.
SPEAKER_22 | 0:51:34.687 --> 0:51:40.762 |  Так, тут усе промовляє про її кулінарні чари. Та сволите?
SPEAKER_14 | 0:51:43.107 --> 0:51:46.364 |  Чи панові смакуватимуть голубці її карманедлі?
SPEAKER_22 | 0:51:47.258 --> 0:51:51.207 |  Чудово, чудово. Я зовсім не хотів завдати вам хлопотом.
SPEAKER_14 | 0:51:52.388 --> 0:51:52.439 |  Субтитрувальниця Оля Шор
SPEAKER_19 | 0:51:52.439 --> 0:51:58.987 |  І тому пан з'явився ось так, ні звідки. Ну що ви, для неї це насолода. Вона обожнює вашу магію.
SPEAKER_22 | 0:52:6.412 --> 0:52:18.89 |  Чи не спадало вам на думку, май пані, що життя нічим не відрізняється від магії? Люди бачать лише те, що самі хочуть побачити. Люди прагнуть ілюзій.
SPEAKER_14 | 0:52:19.996 --> 0:52:21.599 |  Я мушу подавати вечорю.
SPEAKER_22 | 0:52:38.812 --> 0:52:42.878 |  Божествено. Мабуть, доведеться вкрасти у вас пані і Стефу. Зробив так у вас.
SPEAKER_21 | 0:52:44.26 --> 0:52:55.62 |  Стефа, заберіться від мене. Ваша трупа від'їжджає. На жаль.
SPEAKER_22 | 0:52:55.62 --> 0:52:55.518 |  Так.
SPEAKER_03 | 0:52:56.783 --> 0:53:1.643 |  Дуже шкода. Ми були на всіх ваших виступах, аж поки не стався той жахливий випадок.
SPEAKER_22 | 0:53:2.470 --> 0:53:11.735 |  Колосальна втрата. Мати помирає просто на очах у власного сина. Пам'ятаєте нашого гумового хлопчика?
SPEAKER_21 | 0:53:13.220 --> 0:53:18.46 |  Так, так. Довіжна дитя, то це її син?
SPEAKER_22 | 0:53:18.46 --> 0:53:18.468 |  Наш.
SPEAKER_21 | 0:53:18.468 --> 0:53:18.485 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:53:18.485 --> 0:53:18.502 |  Субтитрувальниця Оля Шор
SPEAKER_21 | 0:53:19.312 --> 0:53:19.345 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:53:19.345 --> 0:53:20.324 |  Наші знайомі сини.
SPEAKER_19 | 0:53:20.780 --> 0:53:21.185 |  Як?
SPEAKER_22 | 0:53:22.433 --> 0:54:25.529 |  Він мені навіть більше ніж син, він меючий, мій спадкоємець. Хлопчик народився калічкою, я єдиний вірив, що він виживе. Любов, це також махія, на ній тримається світ. Часом вона важка і невдячна, і щоб витримати, не затохнутися під її фахою, Ти траєш пітлоху, поцуєш скло, чистиш срібло, так, моя пані? Часом вона легка, як птах, і тоді ти печеш, фариш, місиш, щоб дати волю солодкому шалу всередині. Чи добре я все кажу, моя пані?
SPEAKER_14 | 0:54:45.948 --> 0:54:51.230 |  Десерт? Ферікс!
SPEAKER_22 | 0:55:5.185 --> 0:55:55.456 |  Хто ж він має ту любов, якою прахне? Для когось вона храм, для когось в'язниця. Хтось народився панею, хтось служницею. Хтось любить їжею, хтось каменем, хтось молитвою. А хтось не здатний на любов. Хлопчика, якого ви тримаєте, любити марно. Хинь не ваш і не віддячить вам любов'ю. Я пропоную вам тисячу ринських за хлопця.
SPEAKER_03 | 0:55:56.958 --> 0:55:57.768 |  Ми погоджуємось.
SPEAKER_21 | 0:55:59.17 --> 0:56:9.277 |  Він не ваш син, правда ж? Хлопець прилазить в найвужчі шпаринки. Він може виносити з храмів і кам'яниць різні коштовні речі. Ось чому він вам потрібен.
SPEAKER_15 | 0:56:11.555 --> 0:56:13.394 |  Ми погоджуємось на вашу пропозицію, шевельє.
SPEAKER_21 | 0:56:13.917 --> 0:56:14.221 |  Дякую.
SPEAKER_15 | 0:56:14.525 --> 0:56:15.976 |  Ти! Ти волосся!
SPEAKER_11 | 0:56:15.976 --> 0:56:27.603 |  Володарко, душ, за кого ти себе маєш? Пігай з доріг, пропусти мене. Може досить тобі мого скаліченого життя? Чим заважає тобі це дитя? Чи я не маю права когось любити? Та як ти змієш?
SPEAKER_22 | 0:56:28.514 --> 0:56:28.598 |  Дякую.
SPEAKER_21 | 0:56:28.598 --> 0:56:28.784 |  Дякую.
SPEAKER_22 | 0:56:28.784 --> 0:56:28.970 |  Дякую.
SPEAKER_21 | 0:56:28.970 --> 0:56:29.37 |  Дякую за перегляд!
SPEAKER_22 | 0:56:29.37 --> 0:56:29.662 |  Дякую за перегляд!
SPEAKER_21 | 0:56:29.662 --> 0:56:29.678 |  Субтитрувальниця Оля Шор
SPEAKER_22 | 0:56:29.678 --> 0:56:53.995 |  Я тільки хотів побажати паням, щоб берегли свої нерви. Вогонь пристрастий вкрай небезпечний. Це для пані. А це належить мені. Прошу.
SPEAKER_08 | 0:57:4.120 --> 0:57:6.213 |  Я тебе прошу пробирати сміття.
SPEAKER_14 | 0:57:6.213 --> 0:57:13.621 |  Зараз. Тільки натру тобі скрони бальзамом.
SPEAKER_32 | 0:57:16.642 --> 0:57:40.469 |  Стефко, давай швидше! Тут ця відьма Зуза! Це тому, що ти хорошо сложниця. Нам не вигідно тебе продавати.
SPEAKER_14 | 0:57:53.716 --> 0:58:26.875 |  Візьміть мене на топори, Візьміть мене на топори, Занесіть у чорні гори Чорну гору в полонину, Чорну гору в полонину, Де родився, там завів.
SPEAKER_08 | 0:58:34.13 --> 0:58:37.118 |  Сиді, радуйся, благодатна Марія. Господь з тобою.
SPEAKER_15 | 0:58:49.572 --> 0:58:49.994 |  Дякую.
SPEAKER_22 | 0:58:50.585 --> 0:58:51.361 |  Прошу, пані.
SPEAKER_03 | 0:59:1.267 --> 0:59:5.452 |  Дякую. Це з чим? Тут?
SPEAKER_14 | 0:59:5.452 --> 0:59:5.468 |  Субтитрувальниця Оля Шор
SPEAKER_03 | 0:59:5.468 --> 0:59:5.485 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:59:6.852 --> 0:59:10.868 |  Матко Бузька. Ходімо.
SPEAKER_28 | 0:59:12.83 --> 0:59:12.438 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:59:16.927 --> 0:59:16.943 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 0:59:16.943 --> 0:59:16.994 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 0:59:16.994 --> 0:59:17.28 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 0:59:17.28 --> 0:59:20.993 |  Пані Аделю, Стефо!
SPEAKER_28 | 0:59:20.993 --> 0:59:23.423 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 0:59:23.423 --> 0:59:26.512 |  – Вітаю. – Вітаю. Прошу.
SPEAKER_28 | 0:59:23.457 --> 0:59:25.280 |  – Вітаю. – Вітаю.
SPEAKER_23 | 0:59:28.30 --> 0:59:28.132 |  Дякую.
SPEAKER_11 | 0:59:28.132 --> 0:59:28.587 |  Найбільше новини на Суспільному. Харків.
SPEAKER_23 | 0:59:28.587 --> 0:59:29.718 |  Хе-хе.
SPEAKER_11 | 0:59:29.718 --> 0:59:46.36 |  Прошу, заходьте. Тільки Йосифа зараз немає вдома, а викликали на останній сповідь деякого сіромахи. Проходьте. Ви вибачте, мене тут трохи безлад. Я зовсім не здібна до господарства.
SPEAKER_15 | 0:59:46.36 --> 0:59:47.251 |  До зустрічі!
SPEAKER_14 | 0:59:47.251 --> 0:59:47.318 |  Субтитрувальниця Оля Шор
SPEAKER_15 | 0:59:50.18 --> 0:59:50.35 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:59:50.35 --> 0:59:51.976 |  А ви й не мусите. Пані ємості слід.
SPEAKER_15 | 0:59:51.976 --> 0:59:52.60 |  Дякую за перегляд!
SPEAKER_14 | 0:59:52.60 --> 0:59:52.702 |  Дякую за перегляд!
SPEAKER_15 | 0:59:52.702 --> 0:59:52.972 |  Дякую.
SPEAKER_14 | 0:59:52.972 --> 0:59:54.187 |  Так.
SPEAKER_23 | 0:59:54.187 --> 0:59:54.203 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:59:55.64 --> 0:59:55.283 |  Є.
SPEAKER_23 | 0:59:55.283 --> 0:59:55.317 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:59:55.688 --> 0:59:57.916 |  Ну що, спробую заварити вам каву?
SPEAKER_23 | 0:59:57.916 --> 0:59:57.933 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:59:57.933 --> 0:59:57.950 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 0:59:58.574 --> 0:59:58.591 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 0:59:58.591 --> 1:0:2.33 |  Хоча Йосип це робить краще за мене і їсти варить, і прибирає.
SPEAKER_23 | 1:0:2.33 --> 1:0:2.67 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 1:0:3.535 --> 1:0:3.552 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 1:0:3.552 --> 1:0:3.974 |  Але не ще.
SPEAKER_14 | 1:0:3.974 --> 1:0:4.25 |  Дякую за перегляд!
SPEAKER_23 | 1:0:4.25 --> 1:0:4.430 |  Дякую за перегляд!
SPEAKER_14 | 1:0:4.430 --> 1:0:4.447 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 1:0:5.898 --> 1:0:13.711 |  Вам дуже пощастило з пану Цим. Та, жаліємо не з тією моєю хворобою. Ну, а ви сідайте, пані Анделі. Сідайте.
SPEAKER_14 | 1:0:14.453 --> 1:0:14.605 |  Дякую!
SPEAKER_23 | 1:0:16.242 --> 1:0:16.259 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 1:0:16.259 --> 1:0:20.697 |  Я зрублю. І каву зварю. Дякую.
SPEAKER_23 | 1:0:23.887 --> 1:0:33.708 |  Йой, пані Аделю, перепрошую, а давайте краще на терасі сядемо.
SPEAKER_04 | 1:0:33.708 --> 1:0:33.725 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 1:0:34.62 --> 1:0:34.973 |  Можемо.
SPEAKER_04 | 1:0:34.973 --> 1:0:36.37 |  Мабуть, собі і підемо.
SPEAKER_23 | 1:0:36.37 --> 1:0:36.239 |  Дякую.
SPEAKER_04 | 1:0:36.931 --> 1:0:36.948 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 1:0:36.948 --> 1:0:48.895 |  Не йдіть. Я вас благаю. Не йдіть. Ви не тут так самотньо. А ви ж тільки...
SPEAKER_23 | 1:0:48.912 --> 1:0:48.963 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 1:0:48.963 --> 1:0:48.980 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 1:0:48.980 --> 1:0:49.30 |  Дякую!
SPEAKER_14 | 1:0:49.30 --> 1:1:9.27 |  В цьому місті єдині мої знайомі. Йосип, він постійно в церкві то сповідає, то з соборою. А на мене навіть і часу не вистачає. Знаєте, так просто хочеться з кимось поговорити. Про розумні речі.
SPEAKER_23 | 1:1:9.27 --> 1:1:9.145 |  Новини на Суспільному. Харків.
SPEAKER_14 | 1:1:9.145 --> 1:1:9.533 |  Дякую.
SPEAKER_23 | 1:1:9.533 --> 1:1:13.297 |  Про музику, парфуми, панчохи.
SPEAKER_14 | 1:1:18.967 --> 1:1:26.510 |  Пані Аделю, це ж у вас той самий грібнець! Дива-дивна!
SPEAKER_19 | 1:1:26.510 --> 1:1:33.57 |  Будь ласка, це вам. Ви не…
SPEAKER_18 | 1:2:31.293 --> 1:2:34.178 |  Дякую за перегляд!
SPEAKER_20 | 1:3:12.198 --> 1:3:13.565 |  Слава Ісусу Христу, степані!
SPEAKER_28 | 1:3:14.54 --> 1:3:14.71 |  Субтитрувальниця Оля Шор
SPEAKER_13 | 1:3:14.71 --> 1:3:15.269 |  Слава на віки, отче.
SPEAKER_20 | 1:3:16.602 --> 1:3:17.530 |  Панове, 3-й теж тут.
SPEAKER_14 | 1:3:18.138 --> 1:3:18.796 |  Тільки пані.
SPEAKER_20 | 1:3:19.943 --> 1:3:22.306 |  І пані Аделіни вискочила з мого дому і тільки увійшла.
SPEAKER_14 | 1:3:22.981 --> 1:3:26.592 |  Що ви таке кажете? Хтось мав би допомагати вам по господарству.
SPEAKER_20 | 1:3:26.744 --> 1:3:41.611 |  Ніхто не має. Я багато думав про тебе. Думав і молився.
SPEAKER_23 | 1:3:42.792 --> 1:3:43.990 |  А ось і господар дому.
SPEAKER_20 | 1:3:51.314 --> 1:3:52.23 |  Пані Аделю.
SPEAKER_04 | 1:3:52.563 --> 1:3:59.583 |  Вітаю. Наші домовленість зсилюють, чи? До зустрічі.
SPEAKER_14 | 1:4:4.645 --> 1:4:5.270 |  Примай.
SPEAKER_04 | 1:4:5.270 --> 1:4:5.827 |  Дякую.
SPEAKER_14 | 1:4:5.827 --> 1:4:13.268 |  Можеш лишити собі. Не розумію цього. А про що ви домовилися з оцим Йосифом?
SPEAKER_10 | 1:4:20.18 --> 1:4:21.942 |  Домовились, що він буде за мене молитися.
SPEAKER_28 | 1:4:32.472 --> 1:4:35.678 |  Ау! Апачі!
SPEAKER_35 | 1:4:38.75 --> 1:4:39.847 |  Ух!
SPEAKER_28 | 1:4:40.117 --> 1:4:40.133 |  Субтитрувальниця Оля Шор
SPEAKER_35 | 1:4:40.133 --> 1:5:18.203 |  Хи-хи-хи. Я прикрашую. Вітаю, панство. Чим зобов'язані, пану? Мерткий хлопчина. Ви вже, мабуть, чули, шевельє Торна заарештовано. Є підозра, що він чинив крадіжки у церквах. Тепер шукають його спільника. Кажуть, він зовсім дитина. Тонка і спритна. У будь-яку щелину залізе. Невдовзі звідня прибуде комісія для розслідування Дякую Я нічого такого не казав
SPEAKER_14 | 1:5:23.165 --> 1:5:28.345 |  Ми ж його не віддамо, правда? Це на тобі вирішувати. Ти хочеш його позбутися, бо він воліє мене.
SPEAKER_35 | 1:5:28.784 --> 1:5:29.594 |  Де таке обидві?
SPEAKER_21 | 1:5:29.594 --> 1:5:29.611 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 1:5:30.117 --> 1:5:32.176 |  Маю ще кілька справ. До вечері будем.
SPEAKER_15 | 1:5:32.176 --> 1:5:32.193 |  Субтитрувальниця Оля Шор
SPEAKER_21 | 1:5:34.707 --> 1:5:36.935 |  Точно. Вечеря!
SPEAKER_15 | 1:5:37.694 --> 1:5:38.892 |  Музика
SPEAKER_00 | 1:6:9.233 --> 1:6:18.481 |  Горе-горе, ну навіщо приносити до старого Баумеля таку погану тканину? Навіщо давати великі гроші за таку погану тканину?
SPEAKER_14 | 1:6:19.628 --> 1:6:25.889 |  Я вас дуже прошу, пане Баумель. Наступного разу братиму тільки у вас. А зараз треба. Терміново.
SPEAKER_00 | 1:6:26.260 --> 1:6:42.89 |  Ой-вей, терміново. Всім терміново. Наче отой ваш цілий племінник до сьогодні ходив голий та босий. А може, старий Баумель не може швидко, як шлімазле? Може, він любить якісно? Іди, дитина, почекай десь.
SPEAKER_14 | 1:6:46.190 --> 1:6:53.716 |  Цей пиріг особливий. Мама саму себе перевершила. Мули та... На честь чого це ви, пані Баумель?
SPEAKER_09 | 1:6:54.138 --> 1:6:54.509 |  Дякую.
SPEAKER_14 | 1:6:54.509 --> 1:6:56.973 |  До нас зараз завітає, дорогий.
SPEAKER_09 | 1:6:56.973 --> 1:6:56.990 |  Субтитрувальниця Оля Шор
SPEAKER_14 | 1:6:56.990 --> 1:6:57.7 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 1:6:57.7 --> 1:7:0.95 |  Угу, наручений обігаїль. Він мені не наручений.
SPEAKER_14 | 1:6:57.57 --> 1:6:57.74 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 1:7:0.449 --> 1:7:27.989 |  Для нього мати вибрала гусату Сіді. То вона його лякає, щоб він від рук не відбився. А він так і відбився. Каже, хоче пливти за океан. У новому світі, мовляв, і життя нове. Хіба не менювел? Я б на тебе подивилась, коли б тебе лякали гусатою жінкою. За те, який красень, кожна єврейська дівчина мріє вийти за нього. А що ж то за серцеїд? Вона з сьогодніші йде продавець риби, і він має принести свіжих коропів. Стривайте.
SPEAKER_14 | 1:7:27.989 --> 1:7:28.6 |  Субтитрувальниця Оля Шор
SPEAKER_09 | 1:7:28.411 --> 1:7:29.272 |  Ви б провеливала?
SPEAKER_14 | 1:7:29.272 --> 1:7:29.288 |  Субтитрувальниця Оля Шор
SPEAKER_36 | 1:7:44.358 --> 1:7:45.202 |  Вітаю, пані Стас.
SPEAKER_14 | 1:7:46.332 --> 1:7:47.986 |  Звідки ви знаєте моє ім'я?
SPEAKER_36 | 1:7:49.285 --> 1:7:53.352 |  А хто вас не знає, на всіх кухнях Станіславова тільки про вас і мова.
SPEAKER_14 | 1:7:54.753 --> 1:7:56.153 |  І що ж про мене говорять?
SPEAKER_36 | 1:7:56.727 --> 1:8:1.655 |  Кажуть, ви готували святковий обід для архипнязі Отто, коли він повертався з полювання.
SPEAKER_14 | 1:8:2.330 --> 1:8:5.435 |  Та ж князь навіть з потягу не вийшов, поки годину стояв у Станіславові.
SPEAKER_36 | 1:8:5.705 --> 1:8:13.62 |  Так і є, бо надто захопився вашим обідом. Зайчим рулетом і накіпляком, паштетом і печеними обстругами.
SPEAKER_14 | 1:8:14.699 --> 1:8:16.167 |  А що іще про мене кажуть?
SPEAKER_36 | 1:8:16.977 --> 1:8:30.933 |  Кажуть, дивне. Наче пані віддала своє життя якійсь іншій пані. Живе при ній як пес при господарі і робить для неї все. Хоч та жінка не є хворою чи немічною.
SPEAKER_14 | 1:8:31.658 --> 1:8:35.759 |  Що ви таке верзете? Я просто служниця. Кожен живе, як вміє.
SPEAKER_36 | 1:8:36.518 --> 1:8:42.695 |  Служниця має отримувати гроші за свою роботу, а пані, кажуть, не отримує.
SPEAKER_14 | 1:8:43.775 --> 1:8:45.395 |  А може я незвичайно сложна діяльність?
SPEAKER_36 | 1:8:45.850 --> 1:8:48.668 |  Якби ви могли працювати для Інди, була б тільки ваша воля.
SPEAKER_34 | 1:9:18.14 --> 1:9:19.263 |  Все одно я вас не розумію.
SPEAKER_14 | 1:9:20.140 --> 1:9:20.157 |  Субтитрувальниця Оля Шор
SPEAKER_11 | 1:9:20.157 --> 1:9:24.38 |  Чого не розумієте? Ну, я б на вашому місці
SPEAKER_23 | 1:9:24.38 --> 1:9:24.832 |  Дякую за перегляд!
SPEAKER_11 | 1:9:26.283 --> 1:9:26.300 |  Субтитрувальниця Оля Шор
SPEAKER_23 | 1:9:26.300 --> 1:9:38.888 |  Хоча б з цим вашим цирком, Шевалє Торном, я б вирвалась з цієї тісноти в вільний світ. Хе-хе. Хе-хе.
SPEAKER_28 | 1:9:38.888 --> 1:9:39.142 |  Дякую!
SPEAKER_23 | 1:9:39.277 --> 1:9:39.968 |  Ммм.
SPEAKER_28 | 1:9:39.968 --> 1:9:40.475 |  Дякую!
SPEAKER_14 | 1:9:49.13 --> 1:9:53.30 |  Іванко! Що? Іванко!
SPEAKER_28 | 1:9:53.30 --> 1:10:6.665 |  Іванко, Іванко, Йосифе!
SPEAKER_20 | 1:10:10.546 --> 1:10:11.204 |  Ноги тримай!
